Tag,Quadrat,DBH,Latin,Date_Collected,Collected_By,Date_Mounted,Mounted_By,Date_First_Measured,First_Measured_by,Date_Second_Measured,Second_Measured_by,number_of_rings,Center,Duplicate,Notes
40522,404,227.1,Carya glabra,6/14/10,CL,7/6/10,CL,9/15/10,JM,,,129,,0,"9/15/10, JM: 129 rings, 2009-1881. Period between 1980-1960 very dense, slow growth."
50244,504,244,Carya glabra,6/15/10,KL,7/1/10,JM,10/1/10,JM,,,86,,0,"10/1/10, JM: 86 rings, 2009-1924."
50246,504,250.9,Carya glabra,6/15/10,KL,6/30/10,JM,9/29/10,JM,,,105,,0,"9/29/10, JM: 105 rings, 2009-1905."
60059,603,523.1,Carya glabra,6/15/10,KL,6/28/10,JM,9/13/10,JM,,,108,1,0,"9/13/10, JM: 108 rings, 2009-1902."
60172,609,254.6,Carya glabra,6/16/10,DC,7/7/10,JM,10/1/10,JM,,,135,,0,"10/1/10, JM: 135 rings, 2009-1875. Cannot distinguish cells in the first section of core, may be missing rings."
60252,604,188.7,Carya glabra,6/15/10,KL,6/28/10,JM,10/1/10,JM,,,125,,0,"10/1/10, JM: 125 rings, 2009-1885."
60386,609,262.4,Carya glabra,6/16/10,DC,7/6/10,CL,9/13/10,JM,,,106,0,0,"6/16/10, DC: no tag, but pretty certain it’s the correct tree based on sp, location, and dbh; 9/13/10, JM: 106 rings, 2009-1904."
70065,703,186.7,Carya glabra,6/15/10,CL,6/24/10,JM,9/13/10,JM,,,82,,0,"9/13/10, JM: 82 rings, 2009-1928."
70152,706,235.9,Carya glabra,6/15/10,KL,6/17/10,JM,9/15/10,JM,,,93,,0,"9/15/10, JM: 93 rings, 2009-1917."
70256,703,220,Carya glabra,6/15/10,CL,7/12/10,JM,10/1/10,JM,,,53,1,0,"10/1/10, JM: 53 rings, 2009-1957. Front part of core is scarred, cannot distinguish cells, assume there are 8 rings because of vessels."
70269,704,410.9,Carya glabra,6/15/10,CL,6/23/10,HB,9/13/10,JM,,,136,,0,"9/13/10, JM: 136 rings, 2009-1874. Last 6 rings or so are on scarred wood.\"
70332,706,237,Carya glabra,6/15/10,JM,6/22/10,JM,9/15/10,JM,,,113,1,0,"9/15/10, JM: 113 rings, 2009-1897. Scarred section between ring 31 and 32, included in in ring 32."
70426,710,356.9,Carya glabra,6/2/10,JB,7/28/10,JM,,,,,,,0,"6/2/10, JM: no bark."
80288,806,320.6,Carya glabra,6/15/10,CL,7/6/10,CL,10/4/10,JM,,,105,,0,"10/4/10, JM: 105 rings, 2009-1905."
80301,804,152.2,Carya glabra,6/15/10,JM,6/21/10,JM,10/1/10,JM,,,112,,0,"10/1/10, JM: 112 rings, 2009-1898."
80532,813,200.8,Carya glabra,6/1/10,JM,7/12/10,JM,10/1/10,JM,,,107,1,0,"10/1/10, JM: 107 rings, 2009-1903. 6/1/10, JM: front end of core broken into two pieces."
80625,810,376,Carya glabra,6/2/10,JM,6/18/10,JM,9/13/10,JM,,,108,1,0,"9/13/10, JM: 108 rings, 2009-1902."
90311,904,161.7,Carya glabra,8/9/10,JM,8/25/10,JM,,,,,,,0,Originally cored 6/11/10 by JG.
90522,910,324.1,Carya glabra,6/3/10,JM,7/7/10,JM,9/14/10,JM,,,98,,0,"9/14/10, JM: 98 rings, 2009-1912."
90525,910,316.8,Carya glabra,NA,NA,NA,NA,NA,NA,,,NA,,0,"6/3/10, JM: dead tree."
90542,911,376.4,Carya glabra,6/3/10,MB,7/7/10,JM,9/16/10,JM,,,125,,0,"9/16/10, JM: 125 rings, 2009-1885. Could not see any ring boundaries, nor were the vessel cells particularly indicative, but there may be rings before ring 1. Scarring in ring 17. Last 3 rings are assumed to be consecutive rings after the main piece of bark."
91321,907,345.7,Carya glabra,6/14/10,MH,6/30/10,JM,10/1/10,JM,,,124,,0,"10/1/10, JM: 124 rings, 2009-1886."
91327,907,398.7,Carya glabra,6/14/10,MH,6/21/10,JM,9/15/10,JM,,,75,,0,"6/14/10, MH: lost a piece of bark; 9/15/10, JM: 75 rings, 2009-1935."
