"census","genus","species","sp","biomass.mortality.Mg.C.ha.1.yr.1"
"census 2013 and 2014","Fraxinus","All",NA,0.215056066211893
"census 2013 and 2014","Juglans","All",NA,0.00659363802400552
"census 2013 and 2014","Liriodendron","All",NA,0.0650983962130361
"census 2013 and 2014","Nyssa","All",NA,0.0144025810832458
"census 2013 and 2014","Pinus","All",NA,0.00176554730570933
"census 2013 and 2014","Prunus","All",NA,0.00995918620724389
"census 2013 and 2014","Quercus","All",NA,0.40684293234308
"census 2013 and 2014","Sassafras","All",NA,0.00575777705850724
"census 2013 and 2014","Tilia","All",NA,0.0120025812921181
"census 2013 and 2014","Ulmus","All",NA,0.0373863151641493
"census 2013 and 2014","Acer","rubrum","acru",0.00884356273646849
"census 2013 and 2014","Carpinus","caroliniana","caca",0.00146092465464411
"census 2013 and 2014","Carya","cordiformis","caco",0.00784007829534813
"census 2013 and 2014","Carya","glabra","cagl",0.0710125053685147
"census 2013 and 2014","Carya","ovalis","caovl",0.00807755427664774
"census 2013 and 2014","Carya","tomentosa","cato",0.0599778052994536
"census 2013 and 2014","Cercis","canadensis","ceca",0.00488802600291939
"census 2013 and 2014","Celtis","occidentalis","ceoc",0.000713798211871381
"census 2013 and 2014","Fraxinus","americana","fram",0.21258111547344
"census 2013 and 2014","Fraxinus","nigra","frni",0.00247495073845309
"census 2013 and 2014","Juglans","nigra","juni",0.00659363802400552
"census 2013 and 2014","Liriodendron","tulipifera","litu",0.0650983962130361
"census 2013 and 2014","Nyssa","sylvatica","nysy",0.0144025810832458
"census 2013 and 2014","Pinus","strobus","pist",0.00176554730570933
"census 2013 and 2014","Prunus","avium","prav",0.00995918620724389
"census 2013 and 2014","Quercus","alba","qual",0.00876180651964295
"census 2013 and 2014","Quercus","prinus","qupr",0.0146775284011819
"census 2013 and 2014","Quercus","rubra","quru",0.0609970251273738
"census 2013 and 2014","Quercus","velutina","quve",0.322406572294882
"census 2013 and 2014","Sassafras","albidum","saal",0.00575777705850724
"census 2013 and 2014","Tilia","americana","tiam",0.0120025812921181
"census 2013 and 2014","Ulmus","americana","ulam",0.00404083185284944
"census 2013 and 2014","Ulmus","rubra","ulru",0.0333454833112999
"census 2014 and 2015","All","All",NA,1.49137847913617
"census 2014 and 2015","Acer","All",NA,0.012242012397911
"census 2014 and 2015","Carya","All",NA,0.10615757658941
"census 2014 and 2015","Celtis","All",NA,0.00123561558721317
"census 2014 and 2015","Cercis","All",NA,0.00469885717970239
"census 2014 and 2015","Cornus","All",NA,0.00179919755181181
"census 2014 and 2015","Fagus","All",NA,0.0906840155717566
"census 2014 and 2015","Fraxinus","All",NA,0.0311749490597156
"census 2014 and 2015","Juglans","All",NA,0.0407968186383668
"census 2014 and 2015","Liriodendron","All",NA,0.039459022003132
"census 2014 and 2015","Nyssa","All",NA,0.00838838549186503
"census 2014 and 2015","Pinus","All",NA,0.00103527751536127
"census 2014 and 2015","Prunus","All",NA,0.00301231706071883
"census 2014 and 2015","Quercus","All",NA,1.0197142845528
"census 2014 and 2015","Robinia","All",NA,0.0597886943465178
"census 2014 and 2015","Sassafras","All",NA,0.0416990418641106
"census 2014 and 2015","Ulmus","All",NA,0.0294924137257804
"census 2014 and 2015","Acer","rubrum","acru",0.012242012397911
"census 2014 and 2015","Carya","cordiformis","caco",0.0422897066653405
"census 2014 and 2015","Carya","glabra","cagl",0.0381444773031459
"census 2014 and 2015","Carya","ovalis","caovl",0.00362706828443822
"census 2014 and 2015","Carya","tomentosa","cato",0.0220963243364855
"census 2014 and 2015","Cercis","canadensis","ceca",0.00469885717970239
"census 2014 and 2015","Celtis","occidentalis","ceoc",0.00123561558721317
"census 2014 and 2015","Cornus","florida","cofl",0.00179919755181181
"census 2014 and 2015","Fagus","grandifolia","fagr",0.0906840155717566
"census 2014 and 2015","Fraxinus","americana","fram",0.0241126208389416
"census 2014 and 2015","Fraxinus","nigra","frni",0.00706232822077395
"census 2014 and 2015","Juglans","nigra","juni",0.0407968186383668
"census 2014 and 2015","Liriodendron","tulipifera","litu",0.039459022003132
"census 2014 and 2015","Nyssa","sylvatica","nysy",0.00838838549186503
"census 2014 and 2015","Pinus","strobus","pist",0.00103527751536127
"census 2014 and 2015","Prunus","avium","prav",0.00301231706071883
"census 2014 and 2015","Quercus","alba","qual",0.208766527435984
"census 2014 and 2015","Quercus","prinus","qupr",0.141518585205811
"census 2014 and 2015","Quercus","rubra","quru",0.263000878727015
"census 2014 and 2015","Quercus","velutina","quve",0.406428293183988
"census 2014 and 2015","Robinia","pseudoacacia","rops",0.0597886943465178
"census 2014 and 2015","Sassafras","albidum","saal",0.0416990418641106
"census 2014 and 2015","Ulmus","americana","ulam",0.00410731341774836
"census 2014 and 2015","Ulmus","rubra","ulru",0.0253851003080321
"census 2015 and 2016","All","All",NA,1.280257789009
"census 2015 and 2016","Acer","All",NA,0.000795249001146687
"census 2015 and 2016","Carpinus","All",NA,0.00169131515639962
"census 2015 and 2016","Carya","All",NA,0.20431460130243
"census 2015 and 2016","Cercis","All",NA,0.00558155001144104
"census 2015 and 2016","Fraxinus","All",NA,0.176581183901158
"census 2015 and 2016","Lindera","All",NA,0.000579655869241647
"census 2015 and 2016","Liriodendron","All",NA,0.0600214744780739
"census 2015 and 2016","Nyssa","All",NA,0.0277345137104566
"census 2015 and 2016","Pinus","All",NA,0.00106419992943011
"census 2015 and 2016","Platanus","All",NA,0.00460543265651894
"census 2015 and 2016","Prunus","All",NA,0.0157530670830007
"census 2015 and 2016","Quercus","All",NA,0.741520569767019
"census 2015 and 2016","Sassafras","All",NA,0.0073646340826998
"census 2015 and 2016","Tilia","All",NA,0.0107389373550344
"census 2015 and 2016","Ulmus","All",NA,0.021911404704953
"census 2015 and 2016","Acer","rubrum","acru",0.000795249001146687
"census 2015 and 2016","Carpinus","caroliniana","caca",0.00169131515639962
"census 2015 and 2016","Carya","cordiformis","caco",0.128244421731054
"census 2015 and 2016","Carya","glabra","cagl",0.0197876385201991
"census 2015 and 2016","Carya","tomentosa","cato",0.056282541051177
"census 2015 and 2016","Cercis","canadensis","ceca",0.00558155001144104
"census 2015 and 2016","Fraxinus","americana","fram",0.120262991642434
"census 2015 and 2016","Fraxinus","nigra","frni",0.0555491733815406
"census 2015 and 2016","Fraxinus","pennsylvanica","frpe",0.000769018877184191
"census 2015 and 2016","Lindera","benzoin","libe",0.000579655869241647
"census 2015 and 2016","Liriodendron","tulipifera","litu",0.0600214744780739
"census 2015 and 2016","Nyssa","sylvatica","nysy",0.0277345137104566
"census 2015 and 2016","Pinus","strobus","pist",0.00106419992943011
"census 2015 and 2016","Platanus","occidentalis","ploc",0.00460543265651894
"census 2015 and 2016","Prunus","avium","prav",0.0157530670830007
"census 2015 and 2016","Quercus","alba","qual",0.0869986043565319
"census 2015 and 2016","Quercus","michauxii","qumi",0.00711319213276915
"census 2015 and 2016","Quercus","prinus","qupr",0.0102017321800228
"census 2015 and 2016","Quercus","rubra","quru",0.144681671991245
"census 2015 and 2016","Quercus","velutina","quve",0.49252536910645
"census 2015 and 2016","Sassafras","albidum","saal",0.0073646340826998
"census 2015 and 2016","Tilia","americana","tiam",0.0107389373550344
"census 2015 and 2016","Ulmus","americana","ulam",0.00364818479575115
