plot,x,y,Total_N_mean,NH4_mean,P,pH2,pH1,Al,Ca,K,Mg,Mn,ECEC,BS
600,95,235,1.921106813,1.914391394,16.31744034,4.690752777,4.70,0.17,13.17,0.26,2.69,0.47,16.85,92.79
601,95,245,3.033331854,2.991540865,16.67310546,4.695768337,4.72,0.17,12.83,0.25,2.79,0.42,16.92,91.84
602,95,255,3.601316939,3.55371878,17.1252964,4.792353226,4.81,0.15,12.94,0.24,2.90,0.32,17.18,92.96
603,95,265,3.745226657,3.802782897,17.78696133,4.964141807,4.95,0.13,13.63,0.23,3.09,0.22,18.04,96.42
604,95,275,3.729986501,3.737450278,18.61478146,5.079003365,5.02,0.13,15.29,0.25,3.44,0.20,19.79,99.19
605,95,285,3.783255607,3.692090042,19.52638471,5.075325118,5.04,0.13,17.32,0.27,3.80,0.28,21.60,99.95
606,95,295,4.330791376,4.207087735,20.50050396,5.05746528,5.08,0.13,19.54,0.27,4.08,0.36,23.24,99.58
607,95,305,5.635270683,5.28680735,21.54029474,5.03455793,5.08,0.15,21.46,0.26,4.16,0.42,24.55,98.98
608,95,315,4.38113383,2.428717413,22.70199601,5.122696216,5.16,0.17,22.87,0.28,3.92,0.48,25.24,98.48
609,95,325,4.046376625,2.13902618,23.65520945,5.27353819,5.29,0.21,24.42,0.32,3.77,0.51,25.68,98.08
610,95,335,5.018206039,4.500756734,24.37206191,5.487900001,5.47,0.24,26.62,0.41,3.79,0.52,26.12,97.76
611,95,345,5.003938583,4.875865392,24.68789718,5.488559,5.44,0.22,26.61,0.45,3.68,0.54,25.18,96.45
612,95,355,3.925670532,3.831895916,24.57640741,5.28550044,5.27,0.19,24.49,0.44,3.51,0.60,23.35,94.60
613,95,365,3.649888771,3.601012411,24.46000884,5.13601606,5.13,0.15,23.22,0.47,3.46,0.68,22.43,93.80
614,95,375,3.395544501,3.382754932,24.23423368,5.023522396,5.03,0.14,22.07,0.50,3.40,0.76,21.91,93.45
615,95,385,3.595694611,3.581542551,23.44845847,4.899852362,4.91,0.20,18.85,0.45,3.02,0.73,20.07,88.85
616,95,395,3.517510382,3.514418044,22.55765647,4.74263648,4.76,0.30,15.50,0.40,2.60,0.68,18.09,81.89
617,95,405,3.000717278,3.019468113,21.6835801,4.524307037,4.58,0.43,12.43,0.36,2.20,0.65,16.18,73.17
618,95,415,3.043177153,3.065283164,20.76132199,4.503290677,4.56,0.46,11.16,0.34,2.08,0.62,15.29,72.91
619,95,425,3.65229796,3.659015502,19.74949642,4.669717038,4.70,0.38,11.14,0.33,2.18,0.60,15.13,80.18
620,95,435,3.845003517,3.840997656,18.67544573,4.74455648,4.78,0.32,10.45,0.31,2.18,0.57,14.57,84.99
621,95,445,3.911307025,3.909565407,17.7209676,4.765375862,4.82,0.26,9.52,0.30,2.14,0.55,13.89,87.94
622,95,455,3.846917769,3.861343528,17.41102913,4.845154258,4.90,0.23,10.00,0.36,2.31,0.59,14.31,90.52
623,95,465,3.319851943,3.365288517,17.15051842,4.89670473,4.94,0.20,10.42,0.43,2.45,0.65,14.50,91.87
624,95,475,2.541868034,2.59553099,16.76123896,4.889310361,4.90,0.18,10.05,0.47,2.43,0.70,14.00,91.18
625,95,485,3.572502487,3.630318932,16.43899521,4.832759581,4.81,0.23,8.97,0.45,2.23,0.68,12.89,85.96
626,95,495,3.949132422,4.03244929,16.28999844,4.744942803,4.69,0.36,7.98,0.42,2.02,0.65,11.84,77.44
627,95,505,3.084828766,3.323005648,16.1418793,4.600751407,4.55,0.54,6.70,0.38,1.76,0.64,10.83,67.45
628,95,515,1.299858869,1.653722612,16.1204311,4.448677933,4.44,0.74,5.59,0.34,1.55,0.66,10.12,58.61
629,95,525,3.347264057,3.584667065,16.53250555,4.484218367,4.48,0.72,5.83,0.34,1.60,0.68,10.52,61.65
630,95,535,4.735547123,4.795603935,17.08752143,4.541980508,4.55,0.57,6.53,0.34,1.70,0.71,11.22,66.06
631,95,545,5.069440406,5.288295065,17.75275098,4.762622064,4.75,0.30,8.38,0.35,1.93,0.69,12.51,76.52
632,95,555,5.05739115,5.345551192,18.53286596,5.131915117,5.08,0.15,11.17,0.38,2.25,0.62,14.46,89.80
633,95,565,5.213310126,5.272367794,19.17276199,5.373485579,5.32,0.11,13.13,0.43,2.42,0.54,15.99,92.82
634,95,575,4.828530063,4.884876924,19.63125526,5.639863509,5.58,0.08,15.54,0.46,2.64,0.45,17.74,95.12
635,95,585,3.743168759,3.843656109,20.01426357,5.865912696,5.80,0.05,18.20,0.48,2.91,0.39,19.61,97.21
636,95,595,5.138103042,5.179774332,20.68818886,5.838371299,5.80,0.04,19.79,0.50,3.15,0.38,20.82,97.51
637,95,605,5.816846121,5.805137994,21.35423587,5.774944026,5.75,0.04,20.89,0.51,3.36,0.38,21.81,97.66
638,95,615,5.661921783,5.654052631,21.90968544,5.749665849,5.73,0.03,21.32,0.51,3.50,0.37,22.44,98.03
639,95,625,5.824338434,5.808004694,22.29008639,5.663202797,5.67,0.03,20.69,0.53,3.55,0.37,22.46,97.77
640,95,635,6.579605839,6.524450491,22.63160742,5.595378503,5.59,0.03,20.48,0.55,3.64,0.41,22.56,97.48
641,105,5,6.557010444,5.978450723,15.32925976,5.189537186,5.23,0.44,12.15,0.41,2.25,0.52,14.14,88.83
642,105,15,7.064785494,6.518135893,15.84712115,5.209984787,5.18,0.55,11.88,0.39,2.29,0.52,14.40,89.62
643,105,25,7.929758488,7.439508199,16.29219939,5.170366848,5.12,0.65,11.85,0.37,2.35,0.54,14.57,89.79
644,105,35,7.883432564,7.345880531,16.47294393,4.951105288,4.93,0.72,11.05,0.33,2.34,0.60,14.08,87.50
645,105,45,9.367868878,8.905586017,16.4888929,4.701687328,4.74,0.76,10.20,0.30,2.31,0.65,13.36,84.94
646,105,55,6.914156726,6.435191543,16.64536917,4.625941459,4.69,0.73,10.42,0.30,2.42,0.62,13.06,85.51
647,105,65,5.407441437,4.99711541,16.79083401,4.608962325,4.67,0.67,10.99,0.30,2.52,0.59,12.86,85.64
648,105,75,4.717216913,4.334514783,16.83947706,4.595140313,4.62,0.60,11.33,0.28,2.54,0.57,12.62,84.01
649,105,85,4.522825769,3.883644715,16.86163185,4.621475323,4.59,0.54,11.66,0.29,2.54,0.54,12.56,82.90
650,105,95,4.724573098,3.66564305,16.91680829,4.683190559,4.61,0.51,12.01,0.33,2.57,0.53,12.72,82.87
651,105,105,4.671078311,3.984061166,16.91355024,4.727381396,4.62,0.53,11.80,0.39,2.55,0.54,12.80,83.11
652,105,115,4.396236754,4.060888463,16.70807937,4.70849691,4.60,0.59,10.52,0.43,2.39,0.54,12.44,82.59
653,105,125,3.898303697,3.743974038,16.30757225,4.643463122,4.57,0.61,8.69,0.45,2.14,0.54,11.77,80.53
654,105,135,3.712952088,3.609745364,15.76956489,4.6031462,4.58,0.57,7.57,0.47,1.94,0.57,11.34,78.47
655,105,145,3.707653716,3.597211577,15.20940013,4.632667096,4.66,0.47,7.44,0.46,1.84,0.61,11.38,77.82
656,105,155,3.533200606,3.452439882,14.79942846,4.785293837,4.82,0.31,8.38,0.43,1.82,0.60,12.02,80.64
657,105,165,3.44367172,3.386826383,14.4814909,5.121060874,5.09,0.18,10.35,0.38,1.85,0.49,13.23,86.40
658,105,175,3.865329723,3.763598034,14.11211152,5.582162628,5.46,0.12,12.44,0.33,1.87,0.32,14.49,91.15
659,105,185,4.05976811,3.920051535,13.88577418,5.769361293,5.60,0.11,13.68,0.29,1.92,0.27,15.30,93.91
660,105,195,3.886241302,3.754893503,13.87815606,5.597257322,5.46,0.15,14.19,0.26,2.00,0.31,15.49,94.21
661,105,205,3.760254203,3.641688757,13.96600672,5.322844225,5.24,0.21,13.89,0.26,2.06,0.38,15.17,91.48
662,105,215,3.640797815,3.529517141,14.10987714,5.039261958,5.00,0.28,12.67,0.26,2.11,0.44,14.68,86.80
663,105,225,3.29989612,3.230566203,14.34838156,4.810025198,4.79,0.31,11.42,0.26,2.15,0.48,14.49,83.42
664,105,235,2.930416426,2.898962798,14.69777389,4.682814139,4.68,0.28,10.61,0.26,2.22,0.47,14.51,82.17
665,105,245,3.236754434,3.187216062,15.08286329,4.693121764,4.70,0.25,10.52,0.25,2.33,0.41,14.77,82.99
666,105,255,3.533107862,3.467263885,15.59719395,4.809774493,4.82,0.20,11.15,0.24,2.51,0.33,15.37,86.90
667,105,265,3.649465316,3.602369339,16.30103338,4.976730064,4.97,0.16,12.44,0.24,2.79,0.25,16.49,92.46
668,105,275,3.64378376,3.592861581,17.20826733,5.093302544,5.07,0.14,14.29,0.25,3.16,0.24,18.10,97.02
669,105,285,3.617423211,3.541914624,18.26532417,5.128928681,5.12,0.14,16.51,0.27,3.54,0.29,19.91,99.32
670,105,295,3.745827279,3.652303482,19.40203872,5.136090369,5.17,0.15,18.69,0.28,3.83,0.35,21.55,99.44
671,105,305,3.980417018,3.734388063,20.57731888,5.132437542,5.18,0.18,20.42,0.29,3.88,0.41,22.67,98.19
672,105,315,3.773978453,2.997205999,21.6746252,5.149884448,5.20,0.22,21.34,0.30,3.67,0.46,22.91,96.03
673,105,325,3.761991654,2.935967625,22.55866096,5.203572397,5.25,0.28,21.80,0.33,3.46,0.50,22.60,93.73
674,105,335,4.116732364,3.729107049,23.20480901,5.28112881,5.30,0.33,22.18,0.38,3.31,0.51,22.12,91.88
675,105,345,4.121011331,3.934685141,23.55802999,5.25623166,5.25,0.33,21.59,0.40,3.14,0.54,21.10,90.69
676,105,355,3.745585282,3.646580893,23.58952013,5.128539939,5.12,0.29,20.26,0.41,2.98,0.59,19.87,90.36
677,105,365,3.593482476,3.551938585,23.50912885,5.014863094,5.01,0.24,19.21,0.43,2.90,0.66,19.08,90.56
678,105,375,3.54380814,3.534496126,23.29954917,4.929006041,4.93,0.22,18.15,0.44,2.84,0.71,18.55,90.27
679,105,385,3.572974739,3.568804828,22.80128754,4.850330755,4.85,0.27,16.49,0.42,2.65,0.70,17.74,87.56
680,105,395,3.545348719,3.548709316,22.1504388,4.764402537,4.77,0.34,14.74,0.39,2.43,0.67,16.84,82.78
681,105,405,3.410581792,3.429701878,21.42195689,4.678517009,4.70,0.40,13.34,0.36,2.25,0.64,16.02,78.05
682,105,415,3.453755235,3.476083959,20.59114718,4.701206512,4.73,0.38,12.89,0.35,2.24,0.60,15.71,78.60
683,105,425,3.673152101,3.685529889,19.6361092,4.823240505,4.85,0.30,12.97,0.34,2.35,0.56,15.78,83.63
684,105,435,3.777006739,3.785607852,18.64583452,4.916600551,4.96,0.22,12.68,0.33,2.41,0.52,15.67,88.23
685,105,445,3.803813724,3.818910987,17.82472506,4.970842532,5.03,0.17,12.22,0.33,2.45,0.50,15.53,91.62
686,105,455,3.72023634,3.753072034,17.38417206,5.016697034,5.09,0.14,12.33,0.38,2.57,0.52,15.78,94.03
687,105,465,3.148593548,3.208700252,17.09278088,5.034041039,5.10,0.12,12.49,0.45,2.68,0.59,15.92,95.00
688,105,475,2.228159183,2.283838681,16.80303145,5.012220506,5.04,0.12,12.08,0.50,2.70,0.65,15.51,93.64
689,105,485,3.499293819,3.559734937,16.54242517,4.949817995,4.95,0.16,10.69,0.48,2.51,0.65,14.34,88.22
690,105,495,3.985898648,4.057472895,16.40764548,4.868715191,4.84,0.24,9.43,0.44,2.28,0.63,13.21,80.78
691,105,505,3.624240401,3.787872955,16.3285795,4.757304027,4.72,0.35,8.23,0.40,2.05,0.62,12.20,72.67
692,105,515,3.09939314,3.348614992,16.3878312,4.647545991,4.64,0.48,7.35,0.38,1.86,0.64,11.54,66.60
693,105,525,3.873530926,4.037421569,16.70564255,4.613558359,4.63,0.55,7.16,0.37,1.82,0.67,11.56,66.45
694,105,535,4.646586022,4.713588987,17.19019378,4.63378889,4.65,0.52,7.45,0.37,1.86,0.71,12.04,69.70
695,105,545,4.948284118,5.052758059,17.80320088,4.784644867,4.78,0.36,8.63,0.38,2.01,0.70,13.05,77.23
696,105,555,5.041702564,5.161715164,18.48141178,5.055120124,5.02,0.22,10.52,0.41,2.21,0.64,14.52,86.33
697,105,565,5.149892424,5.194976489,19.06327195,5.321246305,5.27,0.14,12.40,0.43,2.38,0.55,15.94,91.08
698,105,575,5.057504683,5.097666853,19.49470545,5.583669156,5.53,0.09,14.50,0.45,2.54,0.46,17.40,94.13
699,105,585,4.871799335,4.931689405,19.85505303,5.76586364,5.72,0.06,16.44,0.47,2.72,0.40,18.70,96.13
700,105,595,5.37955428,5.403822628,20.31015918,5.772312607,5.74,0.05,17.45,0.48,2.88,0.39,19.54,96.62
701,105,605,5.865364413,5.845637524,20.76297332,5.695884111,5.68,0.04,17.72,0.48,2.99,0.40,20.00,96.56
702,105,615,6.083383942,6.046806543,21.14904254,5.618970011,5.62,0.04,17.45,0.48,3.05,0.40,20.12,96.36
703,105,625,6.30878661,6.261199484,21.47501599,5.543913879,5.55,0.04,16.88,0.49,3.08,0.41,20.05,95.97
704,105,635,6.610252179,6.547142069,21.78034107,5.505101485,5.49,0.04,16.59,0.51,3.13,0.43,20.02,95.85
705,115,5,6.316415882,5.785958539,14.84385187,5.067582427,5.06,0.46,10.32,0.42,2.12,0.53,12.84,86.26
706,115,15,6.212402172,5.726832943,15.21722279,4.988921063,4.96,0.59,9.38,0.40,2.09,0.55,12.65,85.52
707,115,25,6.235132914,5.781480674,15.51850021,4.869574059,4.84,0.74,8.82,0.37,2.08,0.58,12.47,84.19
708,115,35,6.85115989,6.374925595,15.70911617,4.707303249,4.71,0.87,8.49,0.33,2.08,0.64,12.29,81.95
709,115,45,8.364431532,7.924651783,15.81238881,4.555051375,4.60,0.88,8.45,0.30,2.10,0.69,12.11,80.17
710,115,55,6.618049477,6.179630409,16.0297584,4.540526532,4.61,0.77,9.33,0.30,2.26,0.69,12.28,81.57
711,115,65,5.237260412,4.888554974,16.21055822,4.586259415,4.66,0.61,10.63,0.30,2.44,0.65,12.56,83.22
712,115,75,3.993101603,3.807887423,16.25912322,4.630836851,4.66,0.46,11.75,0.28,2.55,0.59,12.75,83.45
713,115,85,3.758454111,3.556380893,16.47821376,4.75619236,4.73,0.36,13.97,0.31,2.78,0.55,13.53,84.62
714,115,95,5.018664101,4.58628621,16.84835231,4.94123577,4.83,0.30,16.69,0.41,3.09,0.55,14.78,86.91
715,115,105,4.920741024,4.51593282,16.77133614,4.982779643,4.84,0.31,15.90,0.47,3.04,0.54,14.79,87.90
716,115,115,4.558086876,4.260164744,16.37893422,4.929517727,4.80,0.33,13.20,0.50,2.76,0.54,13.98,87.80
717,115,125,4.297028584,4.07314597,15.86474493,4.848179076,4.76,0.31,10.61,0.50,2.46,0.54,13.02,86.24
718,115,135,4.137939451,3.951423727,15.32680964,4.771323386,4.76,0.32,9.10,0.50,2.22,0.57,12.34,83.36
719,115,145,4.006501938,3.843682806,14.85116098,4.726987194,4.77,0.34,8.58,0.48,2.06,0.62,12.11,80.48
720,115,155,3.792064919,3.664657417,14.48343126,4.754897481,4.80,0.33,8.80,0.46,1.97,0.65,12.29,79.84
721,115,165,3.586624321,3.488138187,14.19013112,4.905944133,4.90,0.29,9.61,0.43,1.93,0.61,12.83,82.33
722,115,175,3.72348702,3.60672476,13.89713314,5.172439501,5.09,0.22,10.68,0.39,1.93,0.50,13.57,86.48
723,115,185,3.934364858,3.787218502,13.66835025,5.351866704,5.22,0.18,11.60,0.35,1.95,0.43,14.04,90.06
724,115,195,4.050149131,3.895405935,13.54647581,5.327995048,5.21,0.18,12.03,0.33,1.94,0.44,14.01,90.91
725,115,205,3.965234217,3.823912653,13.40982685,5.157561028,5.09,0.23,11.67,0.31,1.89,0.47,13.47,86.83
726,115,215,3.684677016,3.574354499,13.21339569,4.926105783,4.90,0.34,10.38,0.29,1.82,0.51,12.79,79.33
727,115,225,3.339972388,3.275016697,13.06309408,4.715160137,4.70,0.46,8.82,0.27,1.76,0.52,12.29,71.41
728,115,235,3.093853964,3.059504913,13.13314834,4.597220132,4.59,0.49,7.79,0.25,1.75,0.50,12.16,67.27
729,115,245,3.253753182,3.208839103,13.54764041,4.624044851,4.63,0.40,7.86,0.24,1.89,0.45,12.60,70.50
730,115,255,3.479908747,3.414190812,14.17779859,4.766391451,4.77,0.26,8.94,0.24,2.14,0.38,13.50,78.90
731,115,265,3.595481509,3.524573658,14.9542069,4.944056278,4.95,0.17,10.68,0.24,2.47,0.32,14.74,88.13
732,115,275,3.579528623,3.513108951,15.96356903,5.079024794,5.07,0.14,12.84,0.25,2.85,0.31,16.30,95.03
733,115,285,3.42237504,3.369892919,17.18932254,5.156643112,5.16,0.14,15.29,0.28,3.25,0.33,18.06,98.41
734,115,295,2.974854046,2.950037393,18.5056708,5.217806027,5.24,0.16,17.54,0.31,3.56,0.37,19.72,98.89
735,115,305,2.312345653,2.275113451,19.78705827,5.248205044,5.28,0.20,19.11,0.33,3.63,0.41,20.73,97.22
736,115,315,2.972549809,2.804356329,20.76962097,5.15818234,5.22,0.26,19.07,0.33,3.40,0.45,20.28,92.70
737,115,325,3.422547181,3.102617153,21.48402989,5.059836633,5.13,0.34,17.98,0.33,3.06,0.49,19.07,87.57
738,115,335,3.58355785,3.117278732,21.975898,4.988422254,5.04,0.44,16.56,0.34,2.75,0.50,17.76,83.58
739,115,345,3.607109854,3.191662652,22.31728161,4.931960321,4.95,0.51,15.36,0.34,2.53,0.52,16.71,82.24
740,115,355,3.538591964,3.365477266,22.48521587,4.882095767,4.88,0.48,14.69,0.35,2.40,0.56,16.04,83.95
741,115,365,3.451695421,3.426103454,22.47281047,4.838797841,4.83,0.39,14.21,0.36,2.32,0.60,15.52,86.06
742,115,375,3.396302708,3.434285452,22.33610683,4.814464227,4.81,0.33,13.87,0.36,2.28,0.63,15.22,86.99
743,115,385,3.454545093,3.487740522,22.10433907,4.818703046,4.81,0.32,13.88,0.37,2.27,0.64,15.27,86.29
744,115,395,3.461787041,3.492155547,21.76631705,4.856791274,4.84,0.32,14.20,0.37,2.30,0.64,15.60,85.12
745,115,405,3.357749609,3.409935577,21.28578613,4.926227796,4.92,0.29,14.82,0.37,2.37,0.62,16.08,84.97
746,115,415,3.396017038,3.451526188,20.61010273,5.001289471,5.00,0.24,15.45,0.37,2.49,0.58,16.56,86.57
747,115,425,3.563079837,3.600859072,19.76163037,5.07915979,5.10,0.19,15.77,0.36,2.63,0.52,16.97,89.12
748,115,435,3.562810319,3.598446873,18.9022362,5.17218433,5.20,0.13,15.87,0.35,2.75,0.46,17.38,91.99
749,115,445,3.465731262,3.511974723,18.17807757,5.242029198,5.29,0.09,15.78,0.37,2.83,0.42,17.67,94.65
750,115,455,3.462677525,3.520781169,17.6498324,5.243509327,5.32,0.08,15.26,0.41,2.91,0.43,17.70,96.40
751,115,465,3.40770726,3.471787251,17.27957704,5.2026926,5.28,0.08,14.59,0.47,2.94,0.48,17.47,96.89
752,115,475,3.631035536,3.682195525,17.00846938,5.149797019,5.20,0.08,13.67,0.50,2.92,0.54,16.89,95.23
753,115,485,4.055200017,4.087060923,16.81664698,5.099313127,5.10,0.10,12.47,0.49,2.80,0.57,16.00,91.60
754,115,495,4.146680648,4.188912593,16.71770317,5.055608834,5.03,0.13,11.41,0.46,2.64,0.57,15.05,86.98
755,115,505,3.953750917,4.037469027,16.70398143,5.005458852,4.99,0.17,10.55,0.44,2.46,0.56,14.18,82.11
756,115,515,3.794498622,3.908094643,16.81061824,4.931648401,4.93,0.23,9.83,0.43,2.29,0.58,13.51,78.15
757,115,525,4.130255102,4.223952509,17.06694097,4.832922378,4.85,0.32,9.21,0.42,2.16,0.63,13.15,75.55
758,115,535,4.493704185,4.560626404,17.47820799,4.759923327,4.79,0.41,8.76,0.42,2.10,0.69,13.20,75.36
759,115,545,4.591011002,4.667112008,18.02823048,4.784035759,4.81,0.39,8.93,0.43,2.12,0.72,13.70,78.04
760,115,555,4.754368387,4.824376991,18.61608762,4.957757481,4.96,0.28,9.94,0.44,2.21,0.68,14.66,83.33
761,115,565,5.081150147,5.112201018,19.12321354,5.230248609,5.21,0.16,11.56,0.45,2.33,0.57,15.87,88.89
762,115,575,5.299078215,5.310273422,19.53058961,5.49605468,5.46,0.09,13.38,0.45,2.44,0.47,17.02,93.29
763,115,585,5.281046841,5.300101872,19.85111597,5.665328187,5.64,0.06,14.84,0.45,2.54,0.41,17.90,95.78
764,115,595,5.512868869,5.515513299,20.12681837,5.670269817,5.66,0.05,15.37,0.46,2.64,0.40,18.35,96.23
765,115,605,6.087165579,6.039291224,20.36625493,5.558487392,5.56,0.05,15.06,0.46,2.69,0.42,18.36,95.48
766,115,615,6.789457296,6.689604008,20.57476155,5.424562938,5.45,0.05,14.32,0.46,2.69,0.45,18.07,94.37
767,115,625,7.02970177,6.916690523,20.8106148,5.358084256,5.38,0.05,13.75,0.47,2.69,0.46,17.88,93.81
768,115,635,6.821202303,6.731740031,21.07845321,5.37762647,5.37,0.06,13.57,0.49,2.72,0.46,17.90,94.05
769,125,5,6.144430632,5.666038141,14.40828558,4.953445083,4.94,0.41,8.78,0.44,2.02,0.54,11.80,84.03
770,125,15,5.668938231,5.299239735,14.68959607,4.802143597,4.78,0.54,7.45,0.40,1.93,0.56,11.28,82.08
771,125,25,4.941794329,4.715292736,14.91461707,4.627964584,4.62,0.68,6.59,0.37,1.86,0.59,10.86,79.56
772,125,35,5.583902245,5.265298721,15.18722104,4.537087299,4.55,0.83,6.76,0.34,1.90,0.65,11.04,77.09
773,125,45,5.925841305,5.545405587,15.44104314,4.502979893,4.53,0.81,7.49,0.32,2.02,0.70,11.45,76.93
774,125,55,5.611711889,5.237616353,15.69715199,4.537358122,4.59,0.65,8.84,0.32,2.22,0.73,12.06,79.98
775,125,65,5.122362648,4.801334488,15.94124123,4.649205307,4.70,0.45,11.09,0.33,2.51,0.70,12.96,83.25
776,125,75,4.674216282,4.434801215,16.20101709,4.821167069,4.83,0.29,14.42,0.35,2.86,0.62,14.19,85.40
777,125,85,5.28590918,5.037297911,16.69048648,5.073027528,5.01,0.19,19.74,0.44,3.41,0.58,16.28,88.76
778,125,95,7.323779526,7.006695132,17.20120301,5.330049706,5.20,0.13,25.20,0.60,3.99,0.57,18.63,92.68
779,125,105,5.658919204,5.318568303,16.79655039,5.28969787,5.15,0.15,21.61,0.61,3.68,0.54,17.74,93.35
780,125,115,4.690513075,4.413354805,16.12534173,5.167508577,5.05,0.16,16.38,0.58,3.18,0.52,16.01,93.10
781,125,125,4.379668973,4.149741796,15.47562945,5.060439507,5.00,0.14,12.61,0.55,2.78,0.51,14.46,92.04
782,125,135,4.216837954,4.0175773,14.91106592,4.944017889,4.97,0.16,10.65,0.53,2.50,0.54,13.44,88.48
783,125,145,4.037305393,3.870314489,14.46001689,4.817681068,4.90,0.24,9.82,0.51,2.31,0.61,12.94,82.83
784,125,155,3.601150496,3.493825248,14.11423055,4.706632595,4.79,0.33,9.19,0.48,2.16,0.70,12.63,78.58
785,125,165,2.580142291,2.54578053,13.89085555,4.645070837,4.69,0.41,8.93,0.47,2.05,0.79,12.58,77.98
786,125,175,3.299853866,3.22527816,13.61605277,4.860830793,4.82,0.31,9.70,0.44,2.04,0.69,13.01,82.77
787,125,185,3.953515971,3.818177261,13.39168825,5.060004979,4.98,0.23,10.48,0.42,2.02,0.60,13.17,87.29
788,125,195,4.681088668,4.538729438,13.28243765,5.106642076,5.04,0.18,10.71,0.40,1.96,0.59,12.95,89.60
789,125,205,4.600263552,4.472128889,12.98651642,4.995489759,4.97,0.22,10.07,0.37,1.82,0.60,12.22,84.49
790,125,215,3.724422416,3.626685641,12.46510399,4.785071558,4.80,0.40,8.42,0.32,1.61,0.59,11.22,72.57
791,125,225,2.916507302,2.888292293,11.98025843,4.570656056,4.60,0.67,6.53,0.28,1.43,0.58,10.39,59.07
792,125,235,1.89449141,1.906903712,11.75182877,4.427385601,4.45,0.85,5.17,0.24,1.32,0.54,9.97,49.69
793,125,245,2.816887079,2.808417795,12.31019394,4.490425158,4.50,0.67,5.53,0.24,1.50,0.50,10.66,57.29
794,125,255,3.411132142,3.362850997,13.05719803,4.695412267,4.69,0.35,6.93,0.23,1.81,0.44,11.83,71.68
795,125,265,3.693457544,3.641045777,13.85952363,4.920985357,4.91,0.17,8.88,0.22,2.16,0.39,13.07,85.71
796,125,275,3.676770926,3.629860651,14.94583443,5.069341708,5.06,0.12,11.25,0.24,2.55,0.38,14.54,94.45
797,125,285,3.362142646,3.328584038,16.33249975,5.137895113,5.14,0.14,13.79,0.28,2.97,0.39,16.22,97.31
798,125,295,2.683131878,2.694586325,17.75534355,5.201653834,5.22,0.18,15.95,0.32,3.30,0.41,17.80,97.96
799,125,305,1.511215242,1.533999354,19.07280298,5.234645962,5.25,0.24,17.18,0.36,3.43,0.43,18.74,96.26
800,125,315,2.661565762,2.604646682,20.0414279,5.061814564,5.14,0.32,16.28,0.35,3.11,0.48,17.80,89.58
801,125,325,3.272125173,2.900889976,20.65753189,4.863043738,4.96,0.44,14.11,0.32,2.65,0.50,16.07,81.56
802,125,335,3.415284143,2.033961879,20.94351184,4.679650483,4.76,0.62,11.39,0.30,2.19,0.49,14.13,73.91
803,125,345,3.442585158,2.064807313,21.2493856,4.60374062,4.64,0.78,9.93,0.29,1.94,0.50,13.10,72.12
804,125,355,3.407199655,3.062559485,21.57270688,4.625990071,4.62,0.78,9.87,0.30,1.88,0.53,12.88,76.41
805,125,365,3.196278163,3.211009542,21.61430544,4.641848281,4.62,0.60,9.85,0.30,1.81,0.55,12.51,80.82
806,125,375,2.742150749,2.949368366,21.53755732,4.673023417,4.67,0.43,10.07,0.30,1.80,0.56,12.34,84.54
807,125,385,3.198070614,3.301356162,21.54939257,4.754337934,4.75,0.36,11.34,0.32,1.92,0.58,12.96,83.89
808,125,395,3.264388282,3.333050805,21.50899633,4.905228343,4.90,0.29,13.34,0.35,2.15,0.60,14.19,85.34
809,125,405,2.628228322,2.76431157,21.32311716,5.132543052,5.09,0.20,15.92,0.38,2.45,0.60,15.91,89.56
810,125,415,2.657066724,2.797715344,20.80778106,5.25577915,5.22,0.15,17.60,0.39,2.72,0.56,17.22,92.59
811,125,425,3.325746902,3.402522912,20.00887732,5.281379924,5.27,0.12,18.00,0.37,2.90,0.49,17.97,93.61
812,125,435,3.106143455,3.17139809,19.23292118,5.394973531,5.39,0.07,18.67,0.37,3.07,0.41,18.96,95.40
813,125,445,2.295258991,2.355517094,18.57221696,5.520919771,5.53,0.05,19.30,0.38,3.18,0.34,19.82,97.51
814,125,455,2.722277532,2.806521145,17.98438544,5.460103662,5.51,0.04,18.09,0.43,3.21,0.35,19.59,98.42
815,125,465,2.431173501,2.489928819,17.55349489,5.363677068,5.42,0.05,16.53,0.49,3.20,0.38,19.01,98.24
816,125,475,4.107213782,4.135390507,17.32020607,5.285882403,5.33,0.05,15.23,0.50,3.16,0.45,18.37,96.97
817,125,485,4.803169202,4.800548701,17.17666637,5.248925998,5.25,0.06,14.10,0.49,3.09,0.50,17.72,94.85
818,125,495,4.260134125,4.285211206,17.11019312,5.252285448,5.24,0.07,13.38,0.48,2.98,0.50,17.07,92.72
819,125,505,3.635856116,3.699232133,17.1466901,5.267997992,5.26,0.08,12.96,0.47,2.88,0.48,16.41,91.16
820,125,515,2.612117084,2.683672077,17.27841494,5.241659432,5.24,0.09,12.43,0.47,2.74,0.49,15.71,89.11
821,125,525,3.685504003,3.774909102,17.47122325,5.058873058,5.08,0.16,11.32,0.47,2.51,0.57,14.85,83.83
822,125,535,4.218290481,4.309383007,17.81455856,4.872291126,4.92,0.28,10.12,0.47,2.34,0.67,14.36,79.60
823,125,545,3.664402975,3.806668137,18.32938662,4.742245124,4.82,0.38,9.22,0.48,2.24,0.76,14.30,77.46
