Tag,chronology,chronology_status,chronology_notes,Quadrat,DBH,Latin,Date_Collected,Date_Mounted,Date_First_Measured,number_of_rings,Duplicate,Notes
10010,JUNI,included,,101,541.9,Juglans nigra,6/23/2010,7/14/2010,1/7/2011,80,0,"1/7/11, JM: 80 rings, 2009-1930. "
10122,JUNI,included,,101,761.9,Juglans nigra,10/25/2010,10/27/2010,1/6/2011,81,0,"10/25/10, CL: cored until rotten section was hit; 10/29/10, JM: Tree re-cored because it was mounted improperly; 1/6/11, JM: 81 rings, 2009-1929."
10160,ACRU,NA,core not measured,103,600.1,Acer rubrum,6/23/2010,7/14/2010,,,0,"6/23/10, JM: Eastern-most tree, closest to road marked ""A"". DBH similar enough, could not distinguish trees. Part of core stuck in borer. 7/14/10, JM: Core slightly twisted, broke core so it would be properly mounted."
10185,ACRU,included,,104,556.3,Acer rubrum,6/23/2010,7/14/2010,12/20/2010,87,0,"12/20/10, JM: 87 rings, 2009-1923. First 10 rings very hard to see, very faint."
10189,ACRU,included,,104,232.1,Acer rubrum,6/23/2010,7/14/2010,12/30/2010,80,0,"6/23/10, HB: took core from tree located between 10188 and 10190. Tree had no tags, but was touching other two trees; 12/30/10, JM: 80 rings, 2009-1930. First piece of core mounted incorrectly- started with the first visible ring."
10194,FAGR,included,,104,275.8,Fagus grandifolia,8/9/2010,8/26/2010,10/7/2010,27,1,"10/7/10, JM: 27 rings, 2009-1983; 11/19/10, JM: tree cored twice."
10296,JUNI,included,,106,550.9,Juglans nigra,6/25/2010,7/14/2010,1/7/2011,74,0,"1/7/11, JM: 74 rings, 2009-1936.First piece of core mounted incorrectly, I think there are three rings there."
10424,CACO,NA,core not measured,106,368.3,Carya cordiformis,6/25/2010,7/16/2010,,,0,
10488,ACRU,NA,core not measured,110,293.9,Acer rubrum,6/25/2010,7/14/2010,,,0,
10517,QUVE,included,"strange growth pattern, last year measured is 2008, shifted -1",107,181.1,Quercus velutina,6/25/2010,7/14/2010,9/20/2010,84,0,"9/20/10, JM: 86 rings, 2009-1924; 12/15/10, JM: 84 rings, 2009-1926. I think it is fair to say that this is just an irregular core- re-measured, can't find the problem."
10539,FRAM,included,,108,463.4,Fraxinus americana,8/9/2010,8/26/2010,1/4/2011,128,0,"1/4/11, JM: 128 rings, 2009-1882."
10551,NYSY,NA,core not measured,109,242.2,Nyssa sylvatica,8/9/2010,8/26/2010,,,0,
10619,FAGR,included,,111,189.9,Fagus grandifolia,10/25/2010,10/27/2010,11/16/2010,51,0,"10/29/10, JM: Re-cored tree, original mounted incorrectly; 11/16/10, JM: 51 rings, 2009-1959."
10633,CATO,NA,core not measured,112,334.4,Carya tomentosa,8/10/2010,8/25/2010,,,0,
10636,QURU,included,,112,367.2,Quercus rubra,6/25/2010,7/14/2010,10/21/2010,96,0,"10/21/10, JM: 96 rings, 2009-1914."
10643,FAGR,rejected,"core in terrible condition, data cannot be trusted, multiple errors",112,653.3,Fagus grandifolia,6/25/2010,7/14/2010,11/23/2010,122,0,"11/23/10, JM: 122 rings, 2009-1888. Terrible core: (1) mounted backwards, (2) first piece of core (mounted I believe in the right place) is mounted improperly, so I can't see the first rings, and (3) second piece of core is mounted with the bark between it and the first. So, measured from the first visible ring, and then in the ""right"" direction. "
10644,CATO,NA,core not measured,112,300.9,Carya tomentosa,6/25/2010,7/14/2010,,,0,
10647,FAGR,included,,112,142.5,Fagus grandifolia,3/7/2011,3/10/2011,3/30/2011,68,0,"3/30/11, JM: 66 rings, 2009-1944; 6/8/11, JM: 68 rings, 2009-1942. Improved correlation, but minimally. At the end of core, larger rings?"
10653,CAOVL,NA,core not measured,114,159.2,Carya ovalis,6/29/2010,7/14/2010,,,0,
10664,FAGR,included,,114,135,Fagus grandifolia,3/7/2011,3/10/2011,3/29/2011,36,0,"3/29/11, JM: 36 rings, 2009-1974."
10675,FAGR,included,,114,186.5,Fagus grandifolia,6/29/2010,7/14/2010,11/17/2010,50,0,"11/17/10, JM: 50 rings, 2009-1960."
10704,CATO,NA,core not measured,113,320.4,Carya tomentosa,6/29/2010,7/14/2010,,,0,"6/29/10, JM: tree has two stems, cored the Eastern-most stem."
10705,CAOVL,NA,core not measured,113,327.8,Carya ovalis,6/29/2010,7/14/2010,,,0,
10726,QUPR,included,,115,706.2,Quercus prinus,3/8/2011,3/10/2011,3/30/2011,106,0,"3/30/11, JM: 106 rings, 2009-1904."
10730,FAGR,included,"shifted -7, very good match. Core doesn't quite to merit that, but does match 47 and 77",115,137.3,Fagus grandifolia,3/7/2011,3/10/2011,4/5/2011,67,0,"4/5/11, JM: 67 rings, 2009-1943; 6/8/11, JM: Re-measured, still low correlation. May be missing rings on the outside edge of core, but not sure."
10731,QUPR,included,,115,605.7,Quercus prinus,8/10/2010,8/25/2010,10/13/2010,128,0,"10/13/10, JM: 128 rings, 2009-1882."
10743,FAGR,included,,115,116.1,Fagus grandifolia,3/7/2011,3/10/2011,3/29/2011,46,0,"3/29/11, JM: 47 rings, 2009-1963; 6/7/2011, JM: 46 rings, 2009-1964."
12032,FAGR,included,,118,159,Fagus grandifolia,8/10/2010,8/25/2010,10/7/2010,31,0,"10/7/10, JM: 31 rings, 2009-1979. Stopped at ring 31- scarring and weird change in direction kept me from measuring the end of the core."
12033,QUPR,rejected,core is broken into pieces,118,478.5,Quercus prinus,8/10/2010,8/26/2010,10/6/2010,78,0,"10/6/10, JM: 78 rings, 2009-1932. Ring 77 is on broken pieces of core, may be different than the value measured; 11/30/10, JM: re-measured, improved correlation minimally."
12072,CAOVL,NA,core not measured,119,240.2,Carya ovalis,7/1/2010,7/14/2010,,,0,
12080,CATO,NA,core not measured,119,315.9,Carya tomentosa,7/1/2010,7/14/2010,,,0,
12123,TIAM,included,,121,154.8,Tilia americana,6/30/2010,7/14/2010,1/5/2011,33,0,"1/5/11, JM: 33 rings, 2009-1977."
12132,TIAM,included,,121,342.9,Tilia americana,7/1/2010,7/14/2010,1/6/2011,57,0,"1/6/11, JM: 57 rings, 2009-1953."
12156,TIAM,included,,122,340,Tilia americana,6/30/2010,7/14/2010,2/23/2011,97,0,"2/23/11, JM: 97 rings, 2009-1913."
12169,TIAM,included,,122,204.8,Tilia americana,6/30/2010,7/14/2010,2/23/2011,55,0,"2/23/11, JM: 55 rings, 2009-1955."
12178,TIAM,included,,122,354.1,Tilia americana,6/30/2010,7/14/2010,1/21/2011,65,0,"1/21/11, JM: 65 rings, 2009-1945."
12191,TIAM,included,,122,349.3,Tilia americana,6/30/2010,7/14/2010,1/21/2011,72,0,"1/21/11, JM: 72 rings, 2009-1938."
12195,TIAM,included,,123,622.7,Tilia americana,6/30/2010,7/14/2010,1/7/2011,79,0,"1/7/11, JM: 79 rings, 2009-1931."
12203,TIAM,included,,123,184.4,Tilia americana,10/19/2010,10/26/2010,1/5/2011,26,0,"10/29/10, JM: Tree re-cored because it was mounted incorrectly; 1/5/11, JM: 26 rings, 2009-1984. "
12242,TIAM,included,,124,193.8,Tilia americana,8/2/2010,8/4/2010,1/5/2011,51,1,"Tree cored twice; 1/5/11, JM: 51 rings, 2009-1959. I think I may be off by a year."
12245,TIAM,included,,124,231.9,Tilia americana,6/30/2010,7/14/2010,1/5/2011,51,0,"1/5/11, JM: 51 rings, 2009-1959."
12267,FRAM,included,better match at -2,125,206.6,Fraxinus americana,7/2/2010,7/14/2010,1/6/2011,34,0,"1/6/11, JM: 34 rings, 2009-1976. Core mounted backwards."
12303,FRAM,included,,126,276.1,Fraxinus americana,10/19/2010,10/26/2010,1/4/2011,64,0,"10/29/10, JM: Tree re-cored, original mounted incorrectly; 1/4/11, JM: 64 rings, 2009-1946."
12317,ACRU,included,,126,382,Acer rubrum,7/2/2010,7/14/2010,12/30/2010,91,0,"12/30/10, JM: 91 rings, 2009-1919. Ring boundaries challenging to see."
12354,JUNI,included,,128,509.2,Juglans nigra,7/2/2010,7/14/2010,1/7/2011,65,0,"1/7/11, JM: 65 rings, 2009-1945."
12366,LITU,included,,128,100.5,Liriodendron tulipifera,3/7/2011,3/10/2011,4/5/2011,29,0,"4/5/11, JM: 29 rings, 2009-1981."
12387,JUNI,included,,129,204,Juglans nigra,10/19/2010,10/25/2010,1/7/2011,44,0,"10/29/10, JM: Tree re-cored, original mounted incorrectly; 1/7/11, JM: 44 rings, 2009-1966."
12403,CATO,NA,core not measured,129,179.8,Carya tomentosa,7/2/2010,7/14/2010,,,0,
12445,QUVE,included,"somewhat matches at -6, strange patterns, scars, looks like recent years might be missing, unclear",130,170.2,Quercus velutina,8/2/2010,8/5/2010,9/20/2010,46,1,"9/20/10, JM: 50 rings, 2009-1960. Scarring in ring 47; 10/21/10, JM: Tree cored twice; 12/15/10, JM: 46 rings, 2009-1964. Removed rings after scarring, improved correlation."
12460,QURU,included,,130,375.8,Quercus rubra,10/19/2010,10/25/2010,10/29/2010,45,0,"10/29/10, JM: 45 rings, 2009-1965. Tree re-cored, original mounted incorrectly."
12473,LITU,NA,core not measured,130,117.9,Liriodendron tulipifera,3/7/2011,3/10/2011,,,,
12490,LITU,included,,131,312.9,Liriodendron tulipifera,10/19/2010,10/25/2010,11/4/2010,70,0,"10/29/10, JM: Tree re-cored, original mounted incorrectly; 11/4/10, JM: 70 rings, 2009-1940."
20050,CACO,NA,core not measured,201,216.8,Carya cordiformis,6/23/2010,7/14/2010,,,0,
20151,ACRU,rejected,errors in measurement,203,200.7,Acer rubrum,6/23/2010,7/14/2010,1/3/2011,126,0,"1/3/10, JM: 126 rings, 2009-1884. First approximately 60 rings difficult to see."
20586,ACRU,NA,core not measured,208,214.8,Acer rubrum,6/23/2010,7/14/2010,,,0,"6/23/10, HB: cored until rotten section was hit, at approx. 7 cm. "
20605,CACO,NA,core not measured,208,154.2,Carya cordiformis,6/23/2010,7/14/2010,,,0,
20627,FAGR,included,,209,705.6,Fagus grandifolia,3/7/2011,3/10/2011,3/28/2011,33,0,"3/7/2011, JM: Not 70 cm, maybe 30?; 3/28/11, JM: 33 rings, 2009-1977."
20639,NYSY,NA,core not measured,210,186.6,Nyssa sylvatica,6/25/2010,7/14/2010,,,0,
20647,CACO,NA,core not measured,210,198.9,Carya cordiformis,6/25/2010,7/14/2010,,,0,
20674,NYSY,NA,core not measured,211,208.8,Nyssa sylvatica,6/25/2010,7/14/2010,,,0,
20693,FAGR,included,,211,199.8,Fagus grandifolia,6/25/2010,7/14/2010,11/22/2010,43,0,"11/22/10, JM: 43 rings, 2009-1967. First part of core twisted, but believe ring count is accurate."
20757,CAGL,NA,core not measured,213,381.1,Carya glabra,6/29/2010,7/14/2010,,,0,
20760,CACO,NA,core not measured,213,502.1,Carya cordiformis,6/29/2010,7/14/2010,,,0,
20792,QUPR,included,low correlation,215,132.2,Quercus prinus,3/7/2011,3/10/2011,3/28/2011,69,0,"3/28/11, JM: 69 rings, 2009-1941."
20811,CACO,NA,core not measured,215,359.8,Carya cordiformis,8/10/2010,8/26/2010,,,0,
20820,FAGR,included,,216,181.5,Fagus grandifolia,6/29/2010,7/15/2010,11/16/2010,39,0,"11/16/10, JM: 39 rings, 2009-1971. Scarring in ring 39, believe there are no more rings beyond this point (visible on the core)."
20835,QUAL,included,"very low correlation, very narrow at the beginning and faster growth between 1900 - 1950",216,415.6,Quercus alba,6/29/2010,7/16/2010,10/20/2010,215,0,"6/29/10, JM: cored until rotten section was hit; 10/20/10, JM: 218 rings, 2009-1792. There is a section of core mounted after the last year measured, but it is so rotted, I wouldn't be confident about any dating; 11/10/10, JM: 215 rings, 2009-1795. Awful, awful core. Suggest throwing it out."
20847,FAGR,included,,216,100.5,Fagus grandifolia,3/7/2011,3/10/2011,3/29/2011,42,0,"3/29/11, JM: 42 rings, 2009-1968."
20848,CATO,NA,core not measured,216,214.7,Carya tomentosa,7/1/2010,7/14/2010,,,0,
22014,QUAL,included,"low correlation, core missing, good match at +10 and then -10, probably errors in measurement",217,712.9,Quercus alba,7/1/2010,7/14/2010,10/13/2010,276,0,"10/13/10, JM: 276 rings, 2009-1734; 11/9/10, JM: re-measured, no improvement."
22031,QUPR,included,,217,676,Quercus prinus,3/8/2011,3/10/2011,3/30/2011,162,0,"3/30/11, JM: 162 rings, 2009-1948."
22036,CATO,NA,core not measured,217,383.3,Carya tomentosa,7/1/2010,7/14/2010,,,0,
22059,TIAM,included,,218,162.5,Tilia americana,7/1/2010,7/14/2010,1/21/2011,49,0,"1/21/11, JM: 49 rings, 2009-1961."
22064,QUPR,included,"low correlation, seems to be scarred",218,678.2,Quercus prinus,10/19/2010,10/25/2010,11/3/2010,161,0,"10/29/10, JM: Tree re-cored, original mounted incorrectly; 11/3/10, JM: 161 rings, 2009-1849. Somewhat irregular growth in the first 30 years, almost looks like warped wood from scarring. Believe there is a ring at 93, but it is along a crack; 11/15/10, JM: Re-measured core, can't find any missing rings- results were nearly exactly the same. "
22103,NYSY,NA,core not measured,219,153.1,Nyssa sylvatica,7/1/2010,7/14/2010,,,0,"7/14/10, RW: fell apart not in sequence? But in the way the core came out."
22111,TIAM,included,,219,335.2,Tilia americana,7/1/2010,7/28/2010,1/7/2011,73,0,"7/28/10, JM: There are two cores labelled 22111, the core mounted by RW on 7/14/10 is incorrect and may be thrown out; 1/7/11, JM: 73 rings, 2009-1937."
22119,TIAM,included,,220,157.3,Tilia americana,7/1/2010,7/14/2010,2/23/2011,42,0,"2/23/11, JM: 42 rings, 2009-1968."
22123,TIAM,included,,220,316.2,Tilia americana,8/2/2010,8/6/2010,1/4/2011,84,0,"Tree originally cored on 7/1/10 by JM; 1/4/10, JM: 84 rings, 2009-1926."
22151,TIAM,included,,221,174.5,Tilia americana,6/30/2010,7/14/2010,1/6/2011,33,0,"1/6/11, JM: 33 rings, 2009-1977."
22156,TIAM,included,,221,161.8,Tilia americana,6/30/2010,7/14/2010,1/6/2011,62,0,"7/14/10, CF: core is crumbly; 1/6/11, JM: 62 rings, 2009-1948."
22166,TIAM,included,,221,569.9,Tilia americana,8/2/2010,8/10/2010,1/7/2011,126,1,"Tree cored twice; 1/7/11, JM: 126 rings, 2009-1884."
22179,TIAM,included,,222,230.7,Tilia americana,6/30/2010,7/14/2010,1/5/2011,57,0,"1/5/11, JM: 57 rings, 2009-1953."
22206,TIAM,included,,222,264.6,Tilia americana,6/30/2010,7/14/2010,1/7/2011,68,0,"1/7/11, JM: 68 rings, 2009-1942."
22227,TIAM,included,,223,190.6,Tilia americana,6/30/2010,7/14/2010,1/5/2011,52,0,"1/5/11, JM: 52 rings, 2009-1958."
22253,ACRU,included,,224,429.9,Acer rubrum,6/30/2010,7/14/2010,12/30/2010,93,0,"6/30/10, JM: rotted core, took as much of sample as possible; 12/30/10, JM: 93 rings, 2009-1917. "
22261,TIAM,rejected,"strange growth, degraded core",224,207.5,Tilia americana,6/30/2010,7/14/2010,1/5/2011,70,0,"1/5/11, JM: 70 rings, 2009-1940."
22319,CAGL,NA,core not measured,225,211.1,Carya glabra,7/2/2010,7/14/2010,,,0,
22335,CAGL,NA,core not measured,226,272,Carya glabra,7/2/2010,7/14/2010,,,0,
22336,QURU,included,,226,774.8,Quercus rubra,10/19/2010,10/25/2010,10/29/2010,87,0,"10/29/10, JM: 87 rings, 2009-1923. Tree re-cored, original mounted incorrectly."
22363,CAOVL,NA,core not measured,226,165,Carya ovalis,7/2/2010,7/14/2010,,,0,
22371,QUVE,included,,227,377,Quercus velutina,7/2/2010,7/14/2010,10/20/2010,71,0,"10/20/10, JM: 70 rings, 2009-1940; 12/15/10, JM: 71 rings, 2009-1939. Correlation greatly improved if add one ring, and considering bark is missing and looks like part of core, safe estimate that there could have been a missing ring."
22388,CAGL,NA,core not measured,227,315.1,Carya glabra,10/19/2010,10/26/2010,,,0,"10/29/10, JM: Tree re-cored, original mounted incorrectly."
