"Date","Observer.name","Stake","Plot","Fence","Tag","SpCode","Height.cm","Notes","X","Y","perc.leaf","Invasive1","perc.Invasive1","X.1","X.2","X.3","X.4","X.5","Invasive2","perc.Invasive2","Invasive3","perc.Invasive3","Invasive4"
"8/17/2012","Gonzalez, Homan",118,"East",FALSE,"4029","",NA,"TR, D (no found in previous years)",NA,NA,95,"mivi, beth, alpe",2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8/17/2012","Gonzalez, Homan",118,"East",FALSE,"4031","fram",26.6,"",0.14,0.85,95,"mivi, beth, alpe",2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8/17/2012","Gonzalez, Homan",118,"East",FALSE,"4033","fram",14.4,"",0.36,0.54,95,"mivi, beth, alpe",2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8/17/2012","Gonzalez, Homan",118,"East",FALSE,"4034","fram",NA,"TR, D",NA,NA,95,"mivi, beth, alpe",2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8/17/2012","Gonzalez, Homan",118,"East",FALSE,"4035","fram",NA,"TR, D",NA,NA,95,"mivi, beth, alpe",2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8/17/2012","Gonzalez, Homan",118,"East",FALSE,"4036","fram",13.7,"",0.44,0.06,95,"mivi, beth, alpe",2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8/17/2012","Gonzalez, Homan",118,"East",FALSE,"4037","fram",13.2,"",0.7,0.1,95,"mivi, beth, alpe",2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8/17/2012","Gonzalez, Homan",118,"East",FALSE,"4038","caco",11.8,"",0.72,0.34,95,"mivi, beth, alpe",2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8/17/2012","Gonzalez, Homan",118,"East",FALSE,"1534-00","paqu",15.2,"",0.12,0.85,95,"mivi, beth, alpe",2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8/17/2012","Gonzalez, Homan",118,"East",FALSE,"","paqu",13.4,"New 2012",0.66,0.72,95,"mivi, beth, alpe",2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8/17/2012","Gonzalez, Homan",118,"East",FALSE,"","beth",18.6,"New 2012",0.77,0.88,95,"mivi, beth, alpe",2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8/17/2012","Gonzalez, Homan",118,"East",FALSE,"","fram",22,"New 2012",0.98,0.83,95,"mivi, beth, alpe",2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8/17/2012","Gonzalez, Homan",118,"East",FALSE,"","fram",13.6,"New 2012",0,0.82,95,"mivi, beth, alpe",2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8/17/2012","Gonzalez, Homan",118,"East",FALSE,"","rops",6.3,"New 2012",0.07,0.4,95,"mivi, beth, alpe",2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8/17/2012","Gonzalez, Homan",118,"South",FALSE,"4039","fram",10.6,"",0.9,0.2,95,"",0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8/17/2012","Gonzalez, Homan",118,"South",FALSE,"4040","fram",9.8,"",1,0.45,95,"",0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8/17/2012","Gonzalez, Homan",118,"South",FALSE,"4042","fram",NA,"TR, D",NA,NA,95,"",0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8/17/2012","Gonzalez, Homan",118,"South",FALSE,"4044","vitis",NA,"TR, D",NA,NA,95,"",0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8/17/2012","Gonzalez, Homan",118,"South",FALSE,"4045","fram",21.3,"",0.93,0.55,95,"",0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8/17/2012","Gonzalez, Homan",118,"South",FALSE,"4046","rusp",126,"",0.98,0.75,95,"",0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8/17/2012","Gonzalez, Homan",118,"South",FALSE,"4047","fram",NA,"TR, D",NA,NA,95,"",0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8/17/2012","Gonzalez, Homan",118,"South",FALSE,"4050","fram",NA,"TR, D",NA,NA,95,"",0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8/17/2012","Gonzalez, Homan",118,"South",FALSE,"6762-00","fram",10.2,"",0.83,0.87,95,"",0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8/17/2012","Gonzalez, Homan",118,"South",FALSE,"","libe",12.6,"New 2012",0.15,0.77,95,"",0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8/17/2012","Gonzalez, Homan",118,"South",FALSE,"","paqu",2.2,"New 2012",0.68,0.24,95,"",0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8/17/2012","Gonzalez, Homan",118,"South",FALSE,"","paqu",4,"New 2012",0.57,0,95,"",0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8/17/2012","Gonzalez, Homan",118,"South",FALSE,"","paqu",4.5,"New 2012",0.21,0.86,95,"",0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8/17/2012","Gonzalez, Homan",118,"South",FALSE,"","ceca",7.4,"New 2012",0.03,0.68,95,"",0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8/17/2012","Gonzalez, Homan",118,"South",FALSE,"","vitis",7.9,"New 2012",0.08,0.1,95,"",0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8/17/2012","Gonzalez, Homan",118,"South",FALSE,"","vitis",7.9,"New 2012",0.13,0.1,95,"",0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8/17/2012","Gonzalez, Homan",118,"South",FALSE,"","paqu",7.9,"New 2012",0,0.28,95,"",0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8/17/2012","Gonzalez, Homan",118,"South",FALSE,"","vitis",8.2,"New 2012",0.24,0.28,95,"",0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8/17/2012","Gonzalez, Homan",118,"South",FALSE,"","paqu",8.7,"New 2012",0.31,0.34,95,"",0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8/17/2012","Gonzalez, Homan",118,"West",FALSE,"4051","fram",19.9,"",0.1,1,95,"mivi",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8/17/2012","Gonzalez, Homan",118,"West",FALSE,"4052","fram",31.6,"",0.2,1,95,"mivi",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8/17/2012","Gonzalez, Homan",118,"West",FALSE,"4053","fram",13.6,"",0.25,0.8,95,"mivi",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
