"census","genus","species","sp","biomass.mortality.Mg.C.ha.1.yr.1"
"census 2008 and 2013","All","All",NA,1.60578269803625
"census 2008 and 2013","Acer","All",NA,0.00926482853394269
"census 2008 and 2013","Amelanchier","All",NA,0.0011674174561086
"census 2008 and 2013","Asimina","All",NA,7.29975232754126e-05
"census 2008 and 2013","Carpinus","All",NA,0.0017988631950941
"census 2008 and 2013","Carya","All",NA,0.171024416308747
"census 2008 and 2013","Celtis","All",NA,0.000836630460361731
"census 2008 and 2013","Cercis","All",NA,0.0073102300332779
"census 2008 and 2013","Cornus","All",NA,0.00224883517927878
"census 2008 and 2013","Diospyros","All",NA,0.000342124289372579
"census 2008 and 2013","Fagus","All",NA,0.0199204392272264
"census 2008 and 2013","Fraxinus","All",NA,0.0936166147153847
"census 2008 and 2013","Hamamelis","All",NA,0.000493282879061512
"census 2008 and 2013","Juglans","All",NA,0.0104848569217204
"census 2008 and 2013","Lindera","All",NA,0.000568269758015556
"census 2008 and 2013","Liriodendron","All",NA,0.0716966733241045
"census 2008 and 2013","Nyssa","All",NA,0.0203446704914226
"census 2008 and 2013","Paulownia","All",NA,0.000893119545929449
"census 2008 and 2013","Pinus","All",NA,0.00172026433769602
"census 2008 and 2013","Platanus","All",NA,0.00127738425139531
"census 2008 and 2013","Prunus","All",NA,0.0101390379994436
"census 2008 and 2013","Quercus","All",NA,0.987219206312838
"census 2008 and 2013","Robinia","All",NA,0.0361653039861572
"census 2008 and 2013","Sassafras","All",NA,0.0237928417312472
"census 2008 and 2013","Tilia","All",NA,0.00610785171312831
"census 2008 and 2013","Ulmus","All",NA,0.12047680374849
"census 2008 and 2013","Unidentified","All",NA,0.00679973411353229
"census 2008 and 2013","Acer","rubrum","acru",0.00926482853394269
"census 2008 and 2013","Amelanchier","arborea","amar",0.0011674174561086
"census 2008 and 2013","Asimina","triloba","astr",7.29975232754126e-05
"census 2008 and 2013","Carpinus","caroliniana","caca",0.0017988631950941
"census 2008 and 2013","Carya","cordiformis","caco",0.0116081426427457
"census 2008 and 2013","Carya","glabra","cagl",0.0354982512943918
"census 2008 and 2013","Carya","ovalis","caovl",0.020537627678742
"census 2008 and 2013","Carya","sp","casp",0.0531593245315656
"census 2008 and 2013","Carya","tomentosa","cato",0.050221070161302
"census 2008 and 2013","Cercis","canadensis","ceca",0.0073102300332779
"census 2008 and 2013","Celtis","occidentalis","ceoc",0.000836630460361731
"census 2008 and 2013","Cornus","florida","cofl",0.00224883517927878
"census 2008 and 2013","Diospyros","virginiana","divi",0.000342124289372579
"census 2008 and 2013","Fagus","grandifolia","fagr",0.0199204392272264
"census 2008 and 2013","Fraxinus","americana","fram",0.0886844261445161
"census 2008 and 2013","Fraxinus","nigra","frni",0.00433369177400974
"census 2008 and 2013","Fraxinus","pennsylvanica","frpe",0.00039082738589743
"census 2008 and 2013","Fraxinus","sp","frsp",0.00020766941096133
"census 2008 and 2013","Hamamelis","virginiana","havi",0.000493282879061512
"census 2008 and 2013","Juglans","nigra","juni",0.0104848569217204
"census 2008 and 2013","Lindera","benzoin","libe",0.000568269758015556
"census 2008 and 2013","Liriodendron","tulipifera","litu",0.0716966733241045
"census 2008 and 2013","Nyssa","sylvatica","nysy",0.0203446704914226
"census 2008 and 2013","Paulownia","tomentosa","pato",0.000893119545929449
"census 2008 and 2013","Pinus","strobus","pist",0.00172026433769602
"census 2008 and 2013","Platanus","occidentalis","ploc",0.00127738425139531
"census 2008 and 2013","Prunus","avium","prav",0.00066623274214102
"census 2008 and 2013","Prunus","serotina","prse",0.00947280525730255
"census 2008 and 2013","Quercus","alba","qual",0.218118432619776
"census 2008 and 2013","Quercus","coccinea","quco",3.89926777732865e-06
"census 2008 and 2013","Quercus","prinus","qupr",0.118993356727723
"census 2008 and 2013","Quercus","rubra","quru",0.308276318302415
"census 2008 and 2013","Quercus","sp","qusp",0.0234212251894108
"census 2008 and 2013","Quercus","velutina","quve",0.318405974205735
"census 2008 and 2013","Robinia","pseudoacacia","rops",0.0361653039861572
"census 2008 and 2013","Sassafras","albidum","saal",0.0237928417312472
"census 2008 and 2013","Tilia","americana","tiam",0.00610785171312831
"census 2008 and 2013","Ulmus","americana","ulam",0.00724506170235517
"census 2008 and 2013","Ulmus","rubra","ulru",0.103556263086554
"census 2008 and 2013","Ulmus","sp","ulsp",0.00967547895958064
"census 2008 and 2013","Unidentified","unk","unk",0.00679973411353229
"census 2013 and 2014","All","All",NA,0.945303393822314
"census 2013 and 2014","Acer","All",NA,0.00884356221157915
"census 2013 and 2014","Carpinus","All",NA,0.00146092464294918
"census 2013 and 2014","Carya","All",NA,0.151458274226038
"census 2013 and 2014","Celtis","All",NA,0.000713798210416626
"census 2013 and 2014","Cercis","All",NA,0.00301373394549881
"census 2013 and 2014","Fraxinus","All",NA,0.216489798720676
"census 2013 and 2014","Juglans","All",NA,0.00528796181451706
"census 2013 and 2014","Liriodendron","All",NA,0.0650983999955602
"census 2013 and 2014","Nyssa","All",NA,0.0144025804715981
"census 2013 and 2014","Pinus","All",NA,0.00176554735277136
"census 2013 and 2014","Prunus","All",NA,0.0147792134444783
"census 2013 and 2014","Quercus","All",NA,0.40684292560972
"census 2013 and 2014","Sassafras","All",NA,0.0057577768435088
"census 2013 and 2014","Tilia","All",NA,0.0120025810165111
"census 2013 and 2014","Ulmus","All",NA,0.0373863153164917
"census 2013 and 2014","Acer","rubrum","acru",0.00884356221157915
"census 2013 and 2014","Carpinus","caroliniana","caca",0.00146092464294918
"census 2013 and 2014","Carya","cordiformis","caco",0.00747075489904239
"census 2013 and 2014","Carya","glabra","cagl",0.0741482389944227
"census 2013 and 2014","Carya","ovalis","caovl",0.00814104385447075
"census 2013 and 2014","Carya","tomentosa","cato",0.0616982364781019
"census 2013 and 2014","Cercis","canadensis","ceca",0.00301373394549881
"census 2013 and 2014","Celtis","occidentalis","ceoc",0.000713798210416626
"census 2013 and 2014","Fraxinus","americana","fram",0.214014848154317
"census 2013 and 2014","Fraxinus","nigra","frni",0.00247495056635871
"census 2013 and 2014","Juglans","nigra","juni",0.00528796181451706
"census 2013 and 2014","Liriodendron","tulipifera","litu",0.0650983999955602
"census 2013 and 2014","Nyssa","sylvatica","nysy",0.0144025804715981
"census 2013 and 2014","Pinus","strobus","pist",0.00176554735277136
"census 2013 and 2014","Prunus","avium","prav",0.0147792134444783
"census 2013 and 2014","Quercus","alba","qual",0.00876180608035739
"census 2013 and 2014","Quercus","prinus","qupr",0.0146775287671564
"census 2013 and 2014","Quercus","rubra","quru",0.0609970249419359
"census 2013 and 2014","Quercus","velutina","quve",0.322406565820271
"census 2013 and 2014","Sassafras","albidum","saal",0.0057577768435088
"census 2013 and 2014","Tilia","americana","tiam",0.0120025810165111
"census 2013 and 2014","Ulmus","americana","ulam",0.00404083185284944
"census 2013 and 2014","Ulmus","rubra","ulru",0.0333454834636422
"census 2014 and 2015","All","All",NA,1.48972463901211
"census 2014 and 2015","Acer","All",NA,0.0122420115837233
"census 2014 and 2015","Carya","All",NA,0.10701272532383
"census 2014 and 2015","Celtis","All",NA,0.00123561558721317
"census 2014 and 2015","Cercis","All",NA,0.0046988570951251
"census 2014 and 2015","Cornus","All",NA,0.00179919752539352
"census 2014 and 2015","Fagus","All",NA,0.0882518479042246
"census 2014 and 2015","Fraxinus","All",NA,0.0311749492417344
"census 2014 and 2015","Juglans","All",NA,0.040796816174767
"census 2014 and 2015","Liriodendron","All",NA,0.0394590227414524
"census 2014 and 2015","Nyssa","All",NA,0.00838838549186503
"census 2014 and 2015","Pinus","All",NA,0.00103527751536127
"census 2014 and 2015","Prunus","All",NA,0.0029355072884037
"census 2014 and 2015","Quercus","All",NA,1.01971427917426
"census 2014 and 2015","Robinia","All",NA,0.0597886923844087
"census 2014 and 2015","Sassafras","All",NA,0.0416990404638885
"census 2014 and 2015","Ulmus","All",NA,0.0294924135164534
"census 2014 and 2015","Acer","rubrum","acru",0.0122420115837233
"census 2014 and 2015","Carya","cordiformis","caco",0.0448155245852016
"census 2014 and 2015","Carya","glabra","cagl",0.0374635316131208
"census 2014 and 2015","Carya","ovalis","caovl",0.00340524228104884
"census 2014 and 2015","Carya","tomentosa","cato",0.0213284268444593
"census 2014 and 2015","Cercis","canadensis","ceca",0.0046988570951251
"census 2014 and 2015","Celtis","occidentalis","ceoc",0.00123561558721317
"census 2014 and 2015","Cornus","florida","cofl",0.00179919752539352
"census 2014 and 2015","Fagus","grandifolia","fagr",0.0882518479042246
"census 2014 and 2015","Fraxinus","americana","fram",0.0241126208389416
"census 2014 and 2015","Fraxinus","nigra","frni",0.0070623284027928
"census 2014 and 2015","Juglans","nigra","juni",0.040796816174767
"census 2014 and 2015","Liriodendron","tulipifera","litu",0.0394590227414524
"census 2014 and 2015","Nyssa","sylvatica","nysy",0.00838838549186503
"census 2014 and 2015","Pinus","strobus","pist",0.00103527751536127
"census 2014 and 2015","Prunus","avium","prav",0.0029355072884037
"census 2014 and 2015","Quercus","alba","qual",0.208766524216925
"census 2014 and 2015","Quercus","prinus","qupr",0.141518591750026
"census 2014 and 2015","Quercus","rubra","quru",0.263000876262445
"census 2014 and 2015","Quercus","velutina","quve",0.406428286944869
"census 2014 and 2015","Robinia","pseudoacacia","rops",0.0597886923844087
"census 2014 and 2015","Sassafras","albidum","saal",0.0416990404638885
"census 2014 and 2015","Ulmus","americana","ulam",0.00410731341774836
"census 2014 and 2015","Ulmus","rubra","ulru",0.025385100098705
"census 2015 and 2016","All","All",NA,1.29650697378743
"census 2015 and 2016","Acer","All",NA,0.00079524895212437
"census 2015 and 2016","Carpinus","All",NA,0.00169131515594009
"census 2015 and 2016","Carya","All",NA,0.213278408623553
"census 2015 and 2016","Cercis","All",NA,0.00558155003442348
"census 2015 and 2016","Fraxinus","All",NA,0.176581180166319
"census 2015 and 2016","Lindera","All",NA,0.000579655828113964
"census 2015 and 2016","Liriodendron","All",NA,0.0600214747631324
"census 2015 and 2016","Nyssa","All",NA,0.0277345138594164
"census 2015 and 2016","Pinus","All",NA,0.00106419992943011
"census 2015 and 2016","Platanus","All",NA,0.00460543265651894
"census 2015 and 2016","Prunus","All",NA,0.0230384486608863
"census 2015 and 2016","Quercus","All",NA,0.74152056968421
"census 2015 and 2016","Sassafras","All",NA,0.007364633761906
"census 2015 and 2016","Tilia","All",NA,0.0107389373550344
"census 2015 and 2016","Ulmus","All",NA,0.0219114043564206
