"census","genus","species","sp","biomass.mortality.Mg.C.ha.1.yr.1"
"census 2008 and 2013","All","All",NA,1.60687202127141
"census 2008 and 2013","Acer","All",NA,0.00926482853394269
"census 2008 and 2013","Amelanchier","All",NA,0.0011674174561086
"census 2008 and 2013","Asimina","All",NA,7.29975232754126e-05
"census 2008 and 2013","Carpinus","All",NA,0.0017988631950941
"census 2008 and 2013","Carya","All",NA,0.165163012268406
"census 2008 and 2013","Celtis","All",NA,0.000836630460361731
"census 2008 and 2013","Cercis","All",NA,0.0073102300332779
"census 2008 and 2013","Cornus","All",NA,0.00224883517927878
"census 2008 and 2013","Diospyros","All",NA,0.000342124289372579
"census 2008 and 2013","Fagus","All",NA,0.0206638357789903
"census 2008 and 2013","Fraxinus","All",NA,0.0936166147153847
"census 2008 and 2013","Hamamelis","All",NA,0.000493282879061512
"census 2008 and 2013","Juglans","All",NA,0.0104848569217204
"census 2008 and 2013","Lindera","All",NA,0.000568269758015556
"census 2008 and 2013","Liriodendron","All",NA,0.0716966733241045
"census 2008 and 2013","Nyssa","All",NA,0.0203446704914226
"census 2008 and 2013","Paulownia","All",NA,0.000893119545929449
"census 2008 and 2013","Pinus","All",NA,0.00172026433769602
"census 2008 and 2013","Platanus","All",NA,0.00127738425139531
"census 2008 and 2013","Prunus","All",NA,0.00670013766615021
"census 2008 and 2013","Quercus","All",NA,0.996865437369868
"census 2008 and 2013","Robinia","All",NA,0.0361653039861572
"census 2008 and 2013","Sassafras","All",NA,0.0237928417312472
"census 2008 and 2013","Tilia","All",NA,0.00610785171312831
"census 2008 and 2013","Ulmus","All",NA,0.12047680374849
"census 2008 and 2013","Unidentified","All",NA,0.00679973411353229
"census 2008 and 2013","Acer","rubrum","acru",0.00926482853394269
"census 2008 and 2013","Amelanchier","arborea","amar",0.0011674174561086
"census 2008 and 2013","Asimina","triloba","astr",7.29975232754126e-05
"census 2008 and 2013","Carpinus","caroliniana","caca",0.0017988631950941
"census 2008 and 2013","Carya","cordiformis","caco",0.0113184205305579
"census 2008 and 2013","Carya","glabra","cagl",0.0350513251700989
"census 2008 and 2013","Carya","ovalis","caovl",0.0199411320964779
"census 2008 and 2013","Carya","sp","casp",0.0500047423265422
"census 2008 and 2013","Carya","tomentosa","cato",0.0488473921447287
"census 2008 and 2013","Cercis","canadensis","ceca",0.0073102300332779
"census 2008 and 2013","Celtis","occidentalis","ceoc",0.000836630460361731
"census 2008 and 2013","Cornus","florida","cofl",0.00224883517927878
"census 2008 and 2013","Diospyros","virginiana","divi",0.000342124289372579
"census 2008 and 2013","Fagus","grandifolia","fagr",0.0206638357789903
