Tag #,stemID,Species,dbh.2013.mm,Date,perc.canopy.completeness,perc.pigmentation 
60582,1,Quercus rubra,285.1,9/15/2014,100,100
60573,1,Tilia americana,258.5,9/15/2014,100,90
30233,1,Fagus grandifolia,1046.8,9/22/2014,100,100
30234,1,Fagus grandifolia,71.5,9/22/2014,100,100
30333,1,Fagus grandifolia,222,9/22/2014,100,100
30331,1,Carya glabra,216,9/22/2014,100,100
30339,1,Liriodendron tulipifera,588,9/22/2014,100,100
30339,2,Liriodendron tulipifera,504,9/22/2014,100,100
30339,3,Liriodendron tulipifera,153.1,9/22/2014,100,100
30343,1,Quercus rubra,600,9/22/2014,90,60
40569,1,Liriodendron tulipifera,280,9/22/2014,100,100
40562,1,Fagus grandifolia,79.1,9/22/2014,100,100
40563,1,Fagus grandifolia,365,9/22/2014,100,100
40564,1,Fagus grandifolia,57.8,9/22/2014,100,100
40565,1,Carya glabra,182.1,9/22/2014,100,100
40566,1,Carya glabra,270.2,9/22/2014,100,100
40567,1,Fagus grandifolia,93.3,9/22/2014,100,100
40568,1,Fagus grandifolia,169.9,9/22/2014,100,100
30225,1,Quercus alba,301,9/22/2014,100,100
60456,1,Carpinus caroliniana,64.5,9/22/2014,100,90
60457,1,Carpinus caroliniana,99.5,9/22/2014,100,90
60468,1,Carpinus caroliniana,67.3,9/22/2014,100,80
60563,1,Carpinus caroliniana,87.5,9/22/2014,100,100
60568,1,Carpinus caroliniana,90.3,9/22/2014,100,90
60569,1,Carpinus caroliniana,89.5,9/22/2014,100,100
60571,1,Carpinus caroliniana,116,9/22/2014,100,90
60576,1,Carpinus caroliniana,95.1,9/22/2014,100,100
60578,1,Carpinus caroliniana,78.5,9/22/2014,100,80
60579,1,Carpinus caroliniana,76.1,9/22/2014,100,100
60586,1,Carpinus caroliniana,62.5,9/22/2014,100,100
60587,1,Carpinus caroliniana,70.5,9/22/2014,100,100
70494,1,Carpinus caroliniana,77.2,9/22/2014,100,90
70494,2,Carpinus caroliniana,59.6,9/22/2014,100,90
70495,1,Carpinus caroliniana,67.6,9/22/2014,100,90
60570,1,Carya cordiformis,396.1,9/22/2014,100,100
60588,1,Carya cordiformis,292.3,9/22/2014,100,90
60469,1,Cornus florida,70,9/22/2014,100,90
60458,1,Fagus grandifolia,269.5,9/22/2014,100,100
60459,1,Fagus grandifolia,99.7,9/22/2014,100,100
60462,1,Fagus grandifolia,209.5,9/22/2014,100,100
60562,1,Fagus grandifolia,124,9/22/2014,100,100
60566,1,Fagus grandifolia,194.2,9/22/2014,100,100
60463,1,Juglans nigra,468,9/22/2014,100,100
50650,1,Liriodendron tulipifera,184.3,9/22/2014,100,100
50654,1,Liriodendron tulipifera,717.2,9/22/2014,100,100
60567,1,Liriodendron tulipifera,536.8,9/22/2014,100,100
60577,1,Liriodendron tulipifera,546.2,9/22/2014,100,100
60581,1,Liriodendron tulipifera,685.1,9/22/2014,100,100
70493,1,Liriodendron tulipifera,539.4,9/22/2014,100,100
70492,1,Nyssa sylvatica,200.1,9/22/2014,100,100
60582,1,Quercus rubra,285.1,9/22/2014,100,100
60573,1,Tilia americana,258.5,9/22/2014,100,80
30233,1,Fagus grandifolia,1046.8,9/29/2014,100,100
30234,1,Fagus grandifolia,71.5,9/29/2014,100,100
30333,1,Fagus grandifolia,222,9/29/2014,100,100
30331,1,Carya glabra,216,9/29/2014,100,90
30339,1,Liriodendron tulipifera,588,9/29/2014,100,90
30339,2,Liriodendron tulipifera,504,9/29/2014,100,90
30339,3,Liriodendron tulipifera,153.1,9/29/2014,100,80
30343,1,Quercus rubra,600,9/29/2014,90,50
40569,1,Liriodendron tulipifera,280,9/29/2014,100,100
40562,1,Fagus grandifolia,79.1,9/29/2014,100,100
40563,1,Fagus grandifolia,365,9/29/2014,100,100
40564,1,Fagus grandifolia,57.8,9/29/2014,90,100
40565,1,Carya glabra,182.1,9/29/2014,100,100
40566,1,Carya glabra,270.2,9/29/2014,100,100
40567,1,Fagus grandifolia,93.3,9/29/2014,100,100
40568,1,Fagus grandifolia,169.9,9/29/2014,100,100
30225,1,Quercus alba,301,9/29/2014,90,90
60456,1,Carpinus caroliniana,64.5,9/29/2014,100,90
60457,1,Carpinus caroliniana,99.5,9/29/2014,90,90
60468,1,Carpinus caroliniana,67.3,9/29/2014,90,70
60563,1,Carpinus caroliniana,87.5,9/29/2014,100,90
60568,1,Carpinus caroliniana,90.3,9/29/2014,100,90
60569,1,Carpinus caroliniana,89.5,9/29/2014,100,100
60571,1,Carpinus caroliniana,116,9/29/2014,100,80
60576,1,Carpinus caroliniana,95.1,9/29/2014,100,90
60578,1,Carpinus caroliniana,78.5,9/29/2014,100,80
60579,1,Carpinus caroliniana,76.1,9/29/2014,100,90
60586,1,Carpinus caroliniana,62.5,9/29/2014,100,80
60587,1,Carpinus caroliniana,70.5,9/29/2014,90,80
70494,1,Carpinus caroliniana,77.2,9/29/2014,100,80
70494,2,Carpinus caroliniana,59.6,9/29/2014,100,70
70495,1,Carpinus caroliniana,67.6,9/29/2014,100,90
60570,1,Carya cordiformis,396.1,9/29/2014,100,100
60588,1,Carya cordiformis,292.3,9/29/2014,100,90
60469,1,Cornus florida,70,9/29/2014,100,80
60458,1,Fagus grandifolia,269.5,9/29/2014,100,100
60459,1,Fagus grandifolia,99.7,9/29/2014,100,100
60462,1,Fagus grandifolia,209.5,9/29/2014,100,100
60562,1,Fagus grandifolia,124,9/29/2014,100,100
60566,1,Fagus grandifolia,194.2,9/29/2014,100,100
60463,1,Juglans nigra,468,9/29/2014,100,50
50650,1,Liriodendron tulipifera,184.3,9/29/2014,100,90
50654,1,Liriodendron tulipifera,717.2,9/29/2014,100,90
60567,1,Liriodendron tulipifera,536.8,9/29/2014,100,90
60577,1,Liriodendron tulipifera,546.2,9/29/2014,100,100
60581,1,Liriodendron tulipifera,685.1,9/29/2014,100,100
70493,1,Liriodendron tulipifera,539.4,9/29/2014,100,100
70492,1,Nyssa sylvatica,200.1,9/29/2014,100,80
60582,1,Quercus rubra,285.1,9/29/2014,100,100
60573,1,Tilia americana,258.5,9/29/2014,90,70
30233,1,Fagus grandifolia,1046.8,10/6/2014,100,100
30234,1,Fagus grandifolia,71.5,10/6/2014,100,100
30333,1,Fagus grandifolia,222,10/6/2014,100,100
30331,1,Carya glabra,216,10/6/2014,100,80
30339,1,Liriodendron tulipifera,588,10/6/2014,100,70
30339,2,Liriodendron tulipifera,504,10/6/2014,100,80
30339,3,Liriodendron tulipifera,153.1,10/6/2014,100,70
30343,1,Quercus rubra,600,10/6/2014,80,40
40569,1,Liriodendron tulipifera,280,10/6/2014,100,90
40562,1,Fagus grandifolia,79.1,10/6/2014,100,100
40563,1,Fagus grandifolia,365,10/6/2014,100,90
40564,1,Fagus grandifolia,57.8,10/6/2014,90,90
40565,1,Carya glabra,182.1,10/6/2014,100,100
40566,1,Carya glabra,270.2,10/6/2014,100,100
40567,1,Fagus grandifolia,93.3,10/6/2014,100,100
40568,1,Fagus grandifolia,169.9,10/6/2014,100,90
30225,1,Quercus alba,301,10/6/2014,80,70
60456,1,Carpinus caroliniana,64.5,10/6/2014,100,90
60457,1,Carpinus caroliniana,99.5,10/6/2014,80,80
60468,1,Carpinus caroliniana,67.3,10/6/2014,70,50
60563,1,Carpinus caroliniana,87.5,10/6/2014,100,80
60568,1,Carpinus caroliniana,90.3,10/6/2014,100,80
60569,1,Carpinus caroliniana,89.5,10/6/2014,100,90
60571,1,Carpinus caroliniana,116,10/6/2014,100,70
60576,1,Carpinus caroliniana,95.1,10/6/2014,100,80
60578,1,Carpinus caroliniana,78.5,10/6/2014,100,80
60579,1,Carpinus caroliniana,76.1,10/6/2014,100,90
60586,1,Carpinus caroliniana,62.5,10/6/2014,100,70
60587,1,Carpinus caroliniana,70.5,10/6/2014,80,70
70494,1,Carpinus caroliniana,77.2,10/6/2014,100,80
70494,2,Carpinus caroliniana,59.6,10/6/2014,100,70
70495,1,Carpinus caroliniana,67.6,10/6/2014,100,90
60570,1,Carya cordiformis,396.1,10/6/2014,100,100
60588,1,Carya cordiformis,292.3,10/6/2014,100,80
60469,1,Cornus florida,70,10/6/2014,100,80
60458,1,Fagus grandifolia,269.5,10/6/2014,100,100
60459,1,Fagus grandifolia,99.7,10/6/2014,100,100
60462,1,Fagus grandifolia,209.5,10/6/2014,100,100
60562,1,Fagus grandifolia,124,10/6/2014,100,100
60566,1,Fagus grandifolia,194.2,10/6/2014,100,100
60463,1,Juglans nigra,468,10/6/2014,100,50
50650,1,Liriodendron tulipifera,184.3,10/6/2014,100,90
50654,1,Liriodendron tulipifera,717.2,10/6/2014,100,80
60567,1,Liriodendron tulipifera,536.8,10/6/2014,100,90
60577,1,Liriodendron tulipifera,546.2,10/6/2014,100,90
60581,1,Liriodendron tulipifera,685.1,10/6/2014,100,100
70493,1,Liriodendron tulipifera,539.4,10/6/2014,100,90
70492,1,Nyssa sylvatica,200.1,10/6/2014,100,70
60582,1,Quercus rubra,285.1,10/6/2014,100,100
60573,1,Tilia americana,258.5,10/6/2014,70,70
30233,1,Fagus grandifolia,1046.8,10/14/2014,100,100
30234,1,Fagus grandifolia,71.5,10/14/2014,100,100
30333,1,Fagus grandifolia,222,10/14/2014,100,100
30331,1,Carya glabra,216,10/14/2014,90,50
30339,1,Liriodendron tulipifera,588,10/14/2014,100,50
30339,2,Liriodendron tulipifera,504,10/14/2014,100,50
30339,3,Liriodendron tulipifera,153.1,10/14/2014,100,40
30343,1,Quercus rubra,600,10/14/2014,70,40
40569,1,Liriodendron tulipifera,280,10/14/2014,100,20
40562,1,Fagus grandifolia,79.1,10/14/2014,100,100
40563,1,Fagus grandifolia,365,10/14/2014,100,90
40564,1,Fagus grandifolia,57.8,10/14/2014,100,90
40565,1,Carya glabra,182.1,10/14/2014,100,50
40566,1,Carya glabra,270.2,10/14/2014,100,10
40567,1,Fagus grandifolia,93.3,10/14/2014,100,100
40568,1,Fagus grandifolia,169.9,10/14/2014,100,90
30225,1,Quercus alba,301,10/14/2014,80,60
60456,1,Carpinus caroliniana,64.5,10/14/2014,90,80
60457,1,Carpinus caroliniana,99.5,10/14/2014,80,70
60468,1,Carpinus caroliniana,67.3,10/14/2014,70,40
60563,1,Carpinus caroliniana,87.5,10/14/2014,100,80
60568,1,Carpinus caroliniana,90.3,10/14/2014,100,70
60569,1,Carpinus caroliniana,89.5,10/14/2014,100,40
60571,1,Carpinus caroliniana,116,10/14/2014,90,50
60576,1,Carpinus caroliniana,95.1,10/14/2014,100,80
60578,1,Carpinus caroliniana,78.5,10/14/2014,100,70
60579,1,Carpinus caroliniana,76.1,10/14/2014,50,10
60586,1,Carpinus caroliniana,62.5,10/14/2014,90,60
60587,1,Carpinus caroliniana,70.5,10/14/2014,80,90
70494,1,Carpinus caroliniana,77.2,10/14/2014,100,70
70494,2,Carpinus caroliniana,59.6,10/14/2014,100,60
70495,1,Carpinus caroliniana,67.6,10/14/2014,100,90
60570,1,Carya cordiformis,396.1,10/14/2014,100,100
60588,1,Carya cordiformis,292.3,10/14/2014,100,70
60469,1,Cornus florida,70,10/14/2014,100,60
60458,1,Fagus grandifolia,269.5,10/14/2014,100,100
60459,1,Fagus grandifolia,99.7,10/14/2014,100,100
60462,1,Fagus grandifolia,209.5,10/14/2014,100,100
60562,1,Fagus grandifolia,124,10/14/2014,100,100
60566,1,Fagus grandifolia,194.2,10/14/2014,100,100
60463,1,Juglans nigra,468,10/14/2014,10,0
50650,1,Liriodendron tulipifera,184.3,10/14/2014,100,70
50654,1,Liriodendron tulipifera,717.2,10/14/2014,100,30
60567,1,Liriodendron tulipifera,536.8,10/14/2014,100,20
60577,1,Liriodendron tulipifera,546.2,10/14/2014,100,70
60581,1,Liriodendron tulipifera,685.1,10/14/2014,100,50
70493,1,Liriodendron tulipifera,539.4,10/14/2014,100,70
70492,1,Nyssa sylvatica,200.1,10/14/2014,100,10
60582,1,Quercus rubra,285.1,10/14/2014,100,100
60573,1,Tilia americana,258.5,10/14/2014,40,0
30233,1,Fagus grandifolia,1046.8,10/20/2014,100,100
30234,1,Fagus grandifolia,71.5,10/20/2014,100,100
30333,1,Fagus grandifolia,222,10/20/2014,100,100
30331,1,Carya glabra,216,10/20/2014,80,40
30339,1,Liriodendron tulipifera,588,10/20/2014,80,0
30339,2,Liriodendron tulipifera,504,10/20/2014,90,0
30339,3,Liriodendron tulipifera,153.1,10/20/2014,10,0
30343,1,Quercus rubra,600,10/20/2014,50,40
40569,1,Liriodendron tulipifera,280,10/20/2014,10,0
40562,1,Fagus grandifolia,79.1,10/20/2014,100,100
40563,1,Fagus grandifolia,365,10/20/2014,100,100
40564,1,Fagus grandifolia,57.8,10/20/2014,100,100
40565,1,Carya glabra,182.1,10/20/2014,100,0
40566,1,Carya glabra,270.2,10/20/2014,100,0
40567,1,Fagus grandifolia,93.3,10/20/2014,100,100
40568,1,Fagus grandifolia,169.9,10/20/2014,100,90
30225,1,Quercus alba,301,10/20/2014,70,10
60456,1,Carpinus caroliniana,64.5,10/20/2014,80,50
60457,1,Carpinus caroliniana,99.5,10/20/2014,70,40
60468,1,Carpinus caroliniana,67.3,10/20/2014,60,0
60563,1,Carpinus caroliniana,87.5,10/20/2014,40,80
60568,1,Carpinus caroliniana,90.3,10/20/2014,100,40
60569,1,Carpinus caroliniana,89.5,10/20/2014,90,20
60571,1,Carpinus caroliniana,116,10/20/2014,80,50
60576,1,Carpinus caroliniana,95.1,10/20/2014,90,50
60578,1,Carpinus caroliniana,78.5,10/20/2014,80,40
60579,1,Carpinus caroliniana,76.1,10/20/2014,30,10
60586,1,Carpinus caroliniana,62.5,10/20/2014,90,30
60587,1,Carpinus caroliniana,70.5,10/20/2014,80,70
70494,1,Carpinus caroliniana,77.2,10/20/2014,90,60
70494,2,Carpinus caroliniana,59.6,10/20/2014,90,50
70495,1,Carpinus caroliniana,67.6,10/20/2014,100,40
60570,1,Carya cordiformis,396.1,10/20/2014,100,80
60588,1,Carya cordiformis,292.3,10/20/2014,50,50
60469,1,Cornus florida,70,10/20/2014,90,20
60458,1,Fagus grandifolia,269.5,10/20/2014,100,80
60459,1,Fagus grandifolia,99.7,10/20/2014,100,90
60462,1,Fagus grandifolia,209.5,10/20/2014,100,100
60562,1,Fagus grandifolia,124,10/20/2014,100,100
60566,1,Fagus grandifolia,194.2,10/20/2014,100,100
60463,1,Juglans nigra,468,10/20/2014,0,0
50650,1,Liriodendron tulipifera,184.3,10/20/2014,100,50
50654,1,Liriodendron tulipifera,717.2,10/20/2014,100,0
60567,1,Liriodendron tulipifera,536.8,10/20/2014,90,0
60577,1,Liriodendron tulipifera,546.2,10/20/2014,80,10
60581,1,Liriodendron tulipifera,685.1,10/20/2014,100,10
70493,1,Liriodendron tulipifera,539.4,10/20/2014,80,40
70492,1,Nyssa sylvatica,200.1,10/20/2014,0,0
60582,1,Quercus rubra,285.1,10/20/2014,100,90
60573,1,Tilia americana,258.5,10/20/2014,0,0
30233,1,Fagus grandifolia,1046.8,10/27/2014,100,100
30234,1,Fagus grandifolia,71.5,10/27/2014,100,100
30333,1,Fagus grandifolia,222,10/27/2014,100,100
30331,1,Carya glabra,216,10/27/2014,80,0
30339,1,Liriodendron tulipifera,588,10/27/2014,10,0
30339,2,Liriodendron tulipifera,504,10/27/2014,10,0
30339,3,Liriodendron tulipifera,153.1,10/27/2014,0,0
30343,1,Quercus rubra,600,10/27/2014,30,10
40569,1,Liriodendron tulipifera,280,10/27/2014,0,0
40562,1,Fagus grandifolia,79.1,10/27/2014,100,100
40563,1,Fagus grandifolia,365,10/27/2014,100,100
40564,1,Fagus grandifolia,57.8,10/27/2014,100,100
40565,1,Carya glabra,182.1,10/27/2014,20,0
40566,1,Carya glabra,270.2,10/27/2014,30,0
40567,1,Fagus grandifolia,93.3,10/27/2014,100,90
40568,1,Fagus grandifolia,169.9,10/27/2014,100,90
30225,1,Quercus alba,301,10/27/2014,10,0
60456,1,Carpinus caroliniana,64.5,10/27/2014,20,0
60457,1,Carpinus caroliniana,99.5,10/27/2014,10,0
60468,1,Carpinus caroliniana,67.3,10/27/2014,50,0
60563,1,Carpinus caroliniana,87.5,10/27/2014,10,0
60568,1,Carpinus caroliniana,90.3,10/27/2014,20,0
60569,1,Carpinus caroliniana,89.5,10/27/2014,10,0
60571,1,Carpinus caroliniana,116,10/27/2014,10,0
60576,1,Carpinus caroliniana,95.1,10/27/2014,20,0
60578,1,Carpinus caroliniana,78.5,10/27/2014,30,0
60579,1,Carpinus caroliniana,76.1,10/27/2014,10,0
60586,1,Carpinus caroliniana,62.5,10/27/2014,10,0
60587,1,Carpinus caroliniana,70.5,10/27/2014,80,0
70494,1,Carpinus caroliniana,77.2,10/27/2014,60,0
70494,2,Carpinus caroliniana,59.6,10/27/2014,50,0
70495,1,Carpinus caroliniana,67.6,10/27/2014,10,0
60570,1,Carya cordiformis,396.1,10/27/2014,100,20
60588,1,Carya cordiformis,292.3,10/27/2014,30,0
60469,1,Cornus florida,70,10/27/2014,10,0
60458,1,Fagus grandifolia,269.5,10/27/2014,100,100
60459,1,Fagus grandifolia,99.7,10/27/2014,100,100
60462,1,Fagus grandifolia,209.5,10/27/2014,100,100
60562,1,Fagus grandifolia,124,10/27/2014,100,100
60566,1,Fagus grandifolia,194.2,10/27/2014,100,100
60463,1,Juglans nigra,468,10/27/2014,0,0
50650,1,Liriodendron tulipifera,184.3,10/27/2014,10,0
50654,1,Liriodendron tulipifera,717.2,10/27/2014,10,0
60567,1,Liriodendron tulipifera,536.8,10/27/2014,10,0
60577,1,Liriodendron tulipifera,546.2,10/27/2014,10,0
60581,1,Liriodendron tulipifera,685.1,10/27/2014,40,0
70493,1,Liriodendron tulipifera,539.4,10/27/2014,20,0
70492,1,Nyssa sylvatica,200.1,10/27/2014,0,0
60582,1,Quercus rubra,285.1,10/27/2014,100,50
60573,1,Tilia americana,258.5,10/27/2014,0,0
30233,1,Fagus grandifolia,1046.8,11/3/2014,100,70
30234,1,Fagus grandifolia,71.5,11/3/2014,100,100
30333,1,Fagus grandifolia,222,11/3/2014,100,100
30331,1,Carya glabra,216,11/3/2014,20,0
30339,1,Liriodendron tulipifera,588,11/3/2014,0,0
30339,2,Liriodendron tulipifera,504,11/3/2014,0,0
30339,3,Liriodendron tulipifera,153.1,11/3/2014,0,0
30343,1,Quercus rubra,600,11/3/2014,10,0
40569,1,Liriodendron tulipifera,280,11/3/2014,0,0
40562,1,Fagus grandifolia,79.1,11/3/2014,100,100
40563,1,Fagus grandifolia,365,11/3/2014,90,90
40564,1,Fagus grandifolia,57.8,11/3/2014,100,0
40565,1,Carya glabra,182.1,11/3/2014,0,0
40566,1,Carya glabra,270.2,11/3/2014,0,0
40567,1,Fagus grandifolia,93.3,11/3/2014,100,90
40568,1,Fagus grandifolia,169.9,11/3/2014,100,10
30225,1,Quercus alba,301,11/3/2014,0,0
60456,1,Carpinus caroliniana,64.5,11/3/2014,0,0
60457,1,Carpinus caroliniana,99.5,11/3/2014,0,0
60468,1,Carpinus caroliniana,67.3,11/3/2014,50,0
60563,1,Carpinus caroliniana,87.5,11/3/2014,5,0
60568,1,Carpinus caroliniana,90.3,11/3/2014,5,0
60569,1,Carpinus caroliniana,89.5,11/3/2014,0,0
60571,1,Carpinus caroliniana,116,11/3/2014,0,0
60576,1,Carpinus caroliniana,95.1,11/3/2014,5,0
60578,1,Carpinus caroliniana,78.5,11/3/2014,20,0
60579,1,Carpinus caroliniana,76.1,11/3/2014,0,0
60586,1,Carpinus caroliniana,62.5,11/3/2014,5,0
60587,1,Carpinus caroliniana,70.5,11/3/2014,40,0
70494,1,Carpinus caroliniana,77.2,11/3/2014,5,0
70494,2,Carpinus caroliniana,59.6,11/3/2014,20,0
70495,1,Carpinus caroliniana,67.6,11/3/2014,0,0
60570,1,Carya cordiformis,396.1,11/3/2014,10,0
60588,1,Carya cordiformis,292.3,11/3/2014,0,0
60469,1,Cornus florida,70,11/3/2014,0,0
60458,1,Fagus grandifolia,269.5,11/3/2014,100,60
60459,1,Fagus grandifolia,99.7,11/3/2014,100,90
60462,1,Fagus grandifolia,209.5,11/3/2014,100,100
60562,1,Fagus grandifolia,124,11/3/2014,100,100
60566,1,Fagus grandifolia,194.2,11/3/2014,100,80
60463,1,Juglans nigra,468,11/3/2014,0,0
50650,1,Liriodendron tulipifera,184.3,11/3/2014,0,0
50654,1,Liriodendron tulipifera,717.2,11/3/2014,0,0
60567,1,Liriodendron tulipifera,536.8,11/3/2014,0,0
60577,1,Liriodendron tulipifera,546.2,11/3/2014,0,0
60581,1,Liriodendron tulipifera,685.1,11/3/2014,0,0
70493,1,Liriodendron tulipifera,539.4,11/3/2014,0,0
70492,1,Nyssa sylvatica,200.1,11/3/2014,0,0
60582,1,Quercus rubra,285.1,11/3/2014,100,30
60573,1,Tilia americana,258.5,11/3/2014,0,0
30233,1,Fagus grandifolia,1046.8,11/10/2014,100,10
30234,1,Fagus grandifolia,71.5,11/10/2014,100,50
30333,1,Fagus grandifolia,222,11/10/2014,100,10
30331,1,Carya glabra,216,11/10/2014,5,0
30339,1,Liriodendron tulipifera,588,11/10/2014,0,0
30339,2,Liriodendron tulipifera,504,11/10/2014,0,0
30339,3,Liriodendron tulipifera,153.1,11/10/2014,0,0
30343,1,Quercus rubra,600,11/10/2014,0,0
40569,1,Liriodendron tulipifera,280,11/10/2014,0,0
40562,1,Fagus grandifolia,79.1,11/10/2014,100,0
40563,1,Fagus grandifolia,365,11/10/2014,80,0
40564,1,Fagus grandifolia,57.8,11/10/2014,100,0
40565,1,Carya glabra,182.1,11/10/2014,0,0
40566,1,Carya glabra,270.2,11/10/2014,0,0
40567,1,Fagus grandifolia,93.3,11/10/2014,100,5
40568,1,Fagus grandifolia,169.9,11/10/2014,20,0
30225,1,Quercus alba,301,11/10/2014,0,0
60456,1,Carpinus caroliniana,64.5,11/10/2014,0,0
60457,1,Carpinus caroliniana,99.5,11/10/2014,0,0
60468,1,Carpinus caroliniana,67.3,11/10/2014,50,0
60563,1,Carpinus caroliniana,87.5,11/10/2014,0,0
60568,1,Carpinus caroliniana,90.3,11/10/2014,0,0
60569,1,Carpinus caroliniana,89.5,11/10/2014,0,0
60571,1,Carpinus caroliniana,116,11/10/2014,0,0
60576,1,Carpinus caroliniana,95.1,11/10/2014,0,0
60578,1,Carpinus caroliniana,78.5,11/10/2014,20,0
60579,1,Carpinus caroliniana,76.1,11/10/2014,0,0
60586,1,Carpinus caroliniana,62.5,11/10/2014,0,0
60587,1,Carpinus caroliniana,70.5,11/10/2014,5,0
70494,1,Carpinus caroliniana,77.2,11/10/2014,0,0
70494,2,Carpinus caroliniana,59.6,11/10/2014,0,0
70495,1,Carpinus caroliniana,67.6,11/10/2014,0,0
60570,1,Carya cordiformis,396.1,11/10/2014,0,0
60588,1,Carya cordiformis,292.3,11/10/2014,0,0
60469,1,Cornus florida,70,11/10/2014,0,0
60458,1,Fagus grandifolia,269.5,11/10/2014,100,30
60459,1,Fagus grandifolia,99.7,11/10/2014,100,10
60462,1,Fagus grandifolia,209.5,11/10/2014,100,20
60562,1,Fagus grandifolia,124,11/10/2014,100,20
60566,1,Fagus grandifolia,194.2,11/10/2014,100,10
60463,1,Juglans nigra,468,11/10/2014,0,0
50650,1,Liriodendron tulipifera,184.3,11/10/2014,0,0
50654,1,Liriodendron tulipifera,717.2,11/10/2014,0,0
60567,1,Liriodendron tulipifera,536.8,11/10/2014,0,0
60577,1,Liriodendron tulipifera,546.2,11/10/2014,0,0
60581,1,Liriodendron tulipifera,685.1,11/10/2014,0,0
70493,1,Liriodendron tulipifera,539.4,11/10/2014,0,0
70492,1,Nyssa sylvatica,200.1,11/10/2014,0,0
60582,1,Quercus rubra,285.1,11/10/2014,100,0
60573,1,Tilia americana,258.5,11/10/2014,0,0
30233,1,Fagus grandifolia,1046.8,11/17/2014,90,0
30234,1,Fagus grandifolia,71.5,11/17/2014,100,0
30333,1,Fagus grandifolia,222,11/17/2014,100,0
30331,1,Carya glabra,216,11/17/2014,0,0
30339,1,Liriodendron tulipifera,588,11/17/2014,0,0
30339,2,Liriodendron tulipifera,504,11/17/2014,0,0
30339,3,Liriodendron tulipifera,153.1,11/17/2014,0,0
30343,1,Quercus rubra,600,11/17/2014,0,0
40569,1,Liriodendron tulipifera,280,11/17/2014,0,0
40562,1,Fagus grandifolia,79.1,11/17/2014,90,0
40563,1,Fagus grandifolia,365,11/17/2014,30,0
40564,1,Fagus grandifolia,57.8,11/17/2014,100,0
40565,1,Carya glabra,182.1,11/17/2014,0,0
40566,1,Carya glabra,270.2,11/17/2014,0,0
40567,1,Fagus grandifolia,93.3,11/17/2014,100,0
40568,1,Fagus grandifolia,169.9,11/17/2014,10,0
30225,1,Quercus alba,301,11/17/2014,0,0
60456,1,Carpinus caroliniana,64.5,11/17/2014,0,0
